Addresses,Allocation %,Type,Sum
0x4c37700d949db46aa11a9f1627070f9af31f8011,1.0112359550561800%,$wjAURA OFT holder,
0x8f23b1606eb4781dd99c6d7b6c3cefbfd376b58c,1.0112359550561800%,$wjAURA OFT holder,
0x386f281624988bb9fe3b7fcbd435ad9671e8266f,1.0112359550561800%,$wjAURA OFT holder,
0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,1.0112359550561800%,$wjAURA OFT holder,
0xc7c10871096b36b036e41d45d15b32b0cc74b806,1.0112359550561800%,$wjAURA OFT holder,
0xb8b5678fb2ed1df5f8e04dd418d255796b97e6c1,1.0112359550561800%,$wjAURA OFT holder,
0x9dd013178c2bd6bb4bf209f4b8239374c0e43415,1.0112359550561800%,$wjAURA OFT holder,
0xb1f881f47bab744e7283851bc090baa626df931d,1.0112359550561800%,$wjAURA OFT holder,
0xa7888f85bd76deef3bd03d4dbcf57765a49883b3,1.0112359550561800%,$wjAURA OFT holder,
0x4bc04c69da62f983f7e070744b728636f3b3cdc1,1.0112359550561800%,$wjAURA OFT holder,
0x5345462544ed763639519376c298e939228dd1f4,1.0112359550561800%,$wjAURA OFT holder,
0xe4eb4c01320c4962bf04f6f39f4e0af2149bc774,1.0112359550561800%,$wjAURA OFT holder,
0x1bd988c588bbe6cabd3a3302ee4b0755793ebbcc,1.0112359550561800%,$wjAURA OFT holder,
0x2aa7e7f01e854534116bb882e44c3b72c3259028,1.0112359550561800%,$wjAURA OFT holder,
0x23c6c1525e8dcf02ddcca761621f8407883790cc,1.0112359550561800%,$wjAURA OFT holder,
0xe5f392062aa17539b946d96694422c4dae77cf07,1.0112359550561800%,$wjAURA OFT holder,
0x2d42d6bb3d18a7be35d76b599aee9d3358b22b3e,1.0112359550561800%,$wjAURA OFT holder,
0x2a88a454a7b0c29d36d5a121b7cf582db01bfcec,1.0112359550561800%,$wjAURA OFT holder,
0x3a7249b510add84a2196fb0fad9d8b745d807286,1.0112359550561800%,$wjAURA OFT holder,
0x6bd5b4ce070bffbb8fa9d138df171aaef724f8ee,1.0112359550561800%,$wjAURA OFT holder,
0x0550bed1c94afbd468aa739852632d7e9b4c2f86,1.0112359550561800%,$wjAURA OFT holder,
0xc270b3a8428b222905c2564b0118fb4a0e10bb81,1.0112359550561800%,$wjAURA OFT holder,
0x034ea2c4f55ae1c613ce1dc6ae231bac1b1ab10b,1.0112359550561800%,$wjAURA OFT holder,
0x48200affb5be019f75d8d8094d71196b3b94067b,1.0112359550561800%,$wjAURA OFT holder,
0xae13291660253b2f8c5bdbc21d0d7465f9181a4c,1.0112359550561800%,$wjAURA OFT holder,
0x40a24ea5b6a248f3a138e6bfe3366e78d1cc71cb,1.0112359550561800%,$wjAURA OFT holder,
0x93fc1f35f53a9553534979233caf273214c51fd7,1.0112359550561800%,$wjAURA OFT holder,
0x1fbf38d10b7ffc58df6be2bc8636c8d19142a482,1.0112359550561800%,$wjAURA OFT holder,
0x22138a0cff84952c018cbcbf5650149017d6b292,1.0112359550561800%,$wjAURA OFT holder,
0x863efdb83dd14f8a3c384d1e0408738c6e836ff0,1.0112359550561800%,$wjAURA OFT holder,
