Addresses,Allocation %,Type,Sum
0x1a0677eeeb4af9ebe896818ebd2957335bd0b8cf,0.00%,Holders,
0x1a7db09d22ea51eed95c15b48edf19857d734c58,0.03%,Holders,
0x1a918a8386f75f382e2a1b2e10b807c39728caf2,0.01%,Holders,
0x1b2321f353f74c0a871d60183a5830819864c498,0.07%,Holders,
0x1c671d1a87d6a202f6aed5159e965a683e27b014,0.00%,Holders,
0x1c9de250768348d3ad8cc7029cabebd09f4f015e,0.00%,Holders,
0x1d18bd4066980bc115d75ce8e00ffaa9c17b98f3,0.00%,Holders,
0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3,0.02%,Holders,
0x1da29ca4e330f0faa816edb6b55b46f9ee453f7f,0.00%,Holders,
0x1da54b531923bff9e5f95894315fc6c920526c53,0.00%,Holders,
0x1e2735fcfa4f90e340571f123bebfd784ae4978a,0.00%,Holders,
0x1e5561ceb6bb9c13a2a5d7f02739d298d33fca44,0.01%,Holders,
0x1e5b64c902eb48c797b64142b9b777977800b938,0.00%,Holders,
0x1f0fa27897fd844564ac7d32e5665a1ea097ad4f,0.00%,Holders,
0x20202766b5d140c206ead1ff95333bccea09b8c6,0.00%,Holders,
0x206d7f45fae22d9926bdb2169dce6e52ed33828f,0.00%,Holders,
0x21ebb1af32c482693425b8741112fa1a7e1cb7f2,0.00%,Holders,
0x22e4bb70905c7ad93b65bc9bd5b1b06e67378124,0.00%,Holders,
0x2324d560a939d0000b85e87830791630c622472a,3.47%,Holders,
0x2345c1723a88cc0a63823c6c75266bae5dffe0fc,0.00%,Holders,
0x23cb2fc1ededeeb186ec022584c41588177a0c97,0.01%,Holders,
0x2414f4310895672ea2c88670691bc2934df84719,0.00%,Holders,
0x2419cf0ab63eb7d725afedf34c4318ab92cea38a,0.00%,Holders,
0x246df15d6d06129614fe81b31b715a1ddedbb1f4,0.00%,Holders,
0x24e21d552fe601d583b00cfe73baeac74a992590,0.01%,Holders,
0x256688d9b9b3700a038ca6a0581c0538d12a1b25,0.10%,Holders,
