Address,Allocation %,Type(s),Sum
0xba64bc8508dda0600f521040c6a694793feca2c7,0.178357627259%,"Beamer, LPer",
0xde4ef7a85a988f3215ec965c4a0fc412a5f78184,0.177309015210%,Staker,
0x6d42aab8b4efd1ad0c5454a040b59ae3c99440b5,0.175149283575%,Beamer,
0x724da43f8d203bc6177dfce78f999d60e898bb7b,0.174808357108%,"Staker, LPer",
0x53fa33a54379015a0b4a0c02d8431bc34b273dd3,0.166188372866%,LPer,
0x22dd7feccb0e79396d41e7be76e350bbb311b84a,0.162656010033%,LPer,
0x0bcde2b0e3795daa6b3b5fa6d3e52550bbfe101e,0.162258393150%,LPer,
0x8971339ec48877b0372ab9b46e63a424d5c1182c,0.157919291094%,LPer,
0xb56f730210a5aa4211cc81d53ddedcc82be1b499,0.152514859994%,Staker,
0xde09e20c98eb4e73bc149a80ad4679409c87d43d,0.148963873523%,Staker,
0xecc7a20b29f01e53a2990f68cb3c718756768935,0.148963873090%,Staker,
0x7166bb498e07b81f9c996fa31bfc16c2ddfc5906,0.146267006107%,LPer,
0xd3519420007d6ceef1948df489262bc963808ca4,0.143468422528%,"Beamer, LPer",
0xb0399dac8f4d4100b49b2a7b3873481114229d18,0.141916111969%,Beamer,
0xf9e2f060a91a86c22c315ba3f0aa9382ddb8627f,0.141495591658%,LPer,
0x2ac1fa38a82738c3875b3ac385fbade067e3d123,0.141007403698%,"Beamer, LPer",
0xb75969711c6c104d1e905bd0db091ad8e1341c43,0.136958646224%,Staker,
0x1a4d374a2c8cb1f3d0204e63c3437beabc9288e2,0.135413129236%,Staker,
0xaac0c7bdab6335a925cfc9c181c1ae176b8866d7,0.133583979044%,LPer,
0x0fd26608e37090e65cc101c6dc8265d6d4b5f75c,0.129507458788%,LPer,
0x96ac98ae6fbd15fda7a1c448540a5d0305443767,0.127203123086%,LPer,
0xa3542e7dd1a58abd42f2e8447128fbbf0591ade7,0.126944282987%,LPer,
0x3b3198d5f9d78b45b8fc5a9bc174ca040fd23ff4,0.125078287698%,Staker,
0x09d4cc177663c056be397b993c853e83f1ba3935,0.124925549536%,LPer,
0x143c28ae5b8642f58c98b8a6f82a0f314d23f6ab,0.118682003397%,LPer,
0x79e76c14b3bb6236dfc06d2d7ff219c8b070169c,0.116102099535%,LPer,
0x44f12ef573f5a70464b7904e037aff4ec0061c6f,0.112761362981%,"Beamer, LPer",
0xfc88e456b3a5620e63a449ce429dccf2687cac26,0.107825150134%,"Beamer, LPer",
0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0.106424825208%,Beamer,
0x66b870ddf78c975af5cd8edc6de25eca81791de1,0.105725879223%,Beamer,
0x099ea6c67373fdd576c448ab3ffcc55201d036b1,0.105450014523%,Staker,
0x4ab0353b85f346af2e387d82446f1038c9acaf7a,0.100862800302%,LPer,
0xca74f404e0c7bfa35b13b511097df966d5a65597,0.099779896405%,Beamer,
0x5538793f0ed24fd4ea2fcd5225a40995a8f5ac3a,0.098297540611%,"Staker, Beamer, LPer",
0xc3be098f9594e57a3e71f485a53d990fe3961fe5,0.097575795097%,"Beamer, LPer",
0x894707182eb10d5175594360f90c84325b4bef10,0.096075888332%,LPer,
0x4238382077127c1a10974d71f805997298586ecc,0.092845896660%,Staker,
0x254b5fffe916511c37b0026d7b16be9eac6b45fd,0.092282803795%,LPer,
0xcb16f82e5949975f9cf229c91c3a6d43e3b32a9e,0.092033182306%,Staker,
0x662b456cbea9a65c5fb78b332b576671138ca047,0.089635299904%,LPer,
0x2115f1ec40bcc2a8859ced7b868d8f6c3f37ecb1,0.088987400113%,Beamer,
0xb4473cfeedc9a0e94612c6ce883677b63f830db8,0.085969143373%,Staker,
0xae91e876101f5c65707c644d81cc90aa4d992082,0.085847878224%,LPer,
0x76a060ea82fe49364f2a9662f70d75a207d2a4e8,0.084015129726%,LPer,
0x8c2821f3efd492088830338ddad982ffecb2081e,0.083419768930%,Staker,
0x5786c96f80ad6a00de474b85bb83dc537d8aa088,0.082513783942%,LPer,
0x58a976db3ecfc1605bf258d2123d1963272dac07,0.082386736779%,LPer,
0x274d9e726844ab52e351e8f1272e7fc3f58b7e5f,0.082333127941%,Staker,
0xf604656c834b3c607e79d62deda47396fede18bf,0.080184216479%,Staker,
0xce1e3befee573a29816893468540cdd2ac0c4d34,0.079923712053%,Beamer,
0x78f87cc02fa8a0ac98fbf66cebfb27260ecee60b,0.079849711845%,Staker,
0x7fc7551947004f9376c2911bbafcd80b0762e2d5,0.079225781731%,LPer,
0x5eeda5bdf0a647a7089329428009ecc9cb9451cc,0.078576104014%,"Beamer, LPer",
0x1813eae046e265511b10e0745155c74ae9eea78b,0.078104952948%,Beamer,
0xddb9fcaa45f02de323b3549cc5a5ed348fd9e997,0.077943761754%,Beamer,
0x05682a10a7ff570e61ffc585042f3730f726c456,0.076706783368%,Beamer,
0x7c09988f53652b31955bb988de56786b24ef44be,0.076665721371%,LPer,
0x9b0b2d0704950bf12fc960b5797eb73abacc2c99,0.074872576932%,Staker,
0x9fdd0c914232a7433d69944853fdaa23c5ff9792,0.074675872683%,Staker,
0x215f32278dcd0a7a475356c57bbc2895d81801f4,0.074529491923%,"Beamer, LPer",
0x1511e7fe2e06bbc75eb4ceee7c7dc5f9af6bb781,0.074190151454%,"Staker, Beamer, LPer",
0x95039538e5655ce0d52f46204de234c11004ef0f,0.073783420162%,Staker,
0x98915fd099c875904d88a11cfd0066cd3da97253,0.072344983571%,Beamer,
0xa71a021ef66b03e45e0d85590432dfcfa1b7174c,0.068135345267%,Beamer,
0xbfe793082533e2b2af54e08cdb35f830310b3a08,0.065406620126%,LPer,
0xe896e539e557bc751860a7763c8dd589af1698ce,0.064958342716%,LPer,
0x791dac5214883377c598e5e88a0d861ab26dff6b,0.064599438860%,Staker,
0x7fe4b2632f5ae6d930677d662af26bc0a06672b3,0.063845362107%,LPer,
0x97283c716f72b6f716d6a1bf6bd7c3fcd840027a,0.063499541499%,LPer,
0x1e121993b4a8bc79d18a4c409db84c100fff25f5,0.062173916808%,Beamer,
0x7e4e766d0ae5ea9cded0c694669194db92800107,0.061570046050%,Beamer,
0x577be3ed9a71e1c355f519bbdf5f09ba2018b1cc,0.060401109238%,"Staker, Beamer, LPer",
0x11fd5e1ce2e39f04cc69b328868e61bfd215db22,0.059075946308%,Staker,
0x0c30f34d02ac026a78a0b4737b2ec61ef4b65a22,0.058958203657%,Staker,
0xcdd2ce87b7a8b6521fed1fd1b42247499dcfa7b3,0.058833301686%,Staker,
0xb8b92767f681979fc1c1af75014adb51e4e4958b,0.058354499330%,Beamer,
0x7e2ed1b75058ce9e4571fdadb8c1f6ed7104c16f,0.057453446510%,Staker,
0x9321d8d72f8bebcf3d48725643564eaf75a7a9ef,0.057124927344%,LPer,
0x5e49a561b35d6867d98d67b702c3b7946edef044,0.056544381397%,"Beamer, LPer",
0x16c2bd50c5930cb1046fe22349272b6d664551a3,0.055629507134%,Staker,
0xa300bcb53e2ec7d89d32c7a6bb093877ac4206ec,0.054059732817%,"Staker, Beamer, LPer",
0x1477095c24f7b6ae3d367f80058e0552ad56bea2,0.052873226873%,"Staker, Beamer",
0x070b8d1f8b63eba95db31c8e85ba536b3474b113,0.052744810750%,Staker,
0x161e7338d2cb42200bbb09f68a660fb0ef431a9e,0.052686900514%,Staker,
0xdf2c270f610dc35d8ffda5b453e74db5471e126b,0.052338700704%,Beamer,
0x4b947f35474b1b6b63f1ac17b6fb93946acd5513,0.052036864107%,Staker,
0x9be9cd9c9b2dc0a7b47478e4ba14b08b1f640cc7,0.050833921524%,"Beamer, LPer",
0xaa322be189a0b82b032862dfdc927d292d789422,0.050777713195%,LPer,
0x39d8ea424742ed9ac14b1f0468613ec978b2cc0a,0.050703457611%,LPer,
0x2f7f097e9f5dd81540723b704aacc9aef2712cdc,0.050273230270%,Staker,
0x977ce470898dcb619b997daadfa8557dfee59034,0.050086466934%,"Beamer, LPer",
0x3bd881aa17c814bfafd51c1d37ef9134a0da4cba,0.049350908125%,LPer,
0xde21dcb4d007d1ff6e1ef47ee4f8a47a9867d161,0.048161360500%,LPer,
0xbf7b5b02ab8e2485eaa1dc57d6336e7b3da34923,0.048078761911%,Staker,
0x7ec7b375834ef33a1a677503d5065651ee530975,0.047397102216%,"Staker, Beamer, LPer",
0xa0b6253d7787ae282749b71fd4ef5d5c9d8a9e87,0.046942153497%,Staker,
0xe09348c518c51671a54fce1f16a1d55ede6c7c58,0.046420252597%,"Beamer, LPer",
0x6d6f4a05cfd47a759afa9189fe68a08e4543b75b,0.045900590064%,Staker,
0xcab68f8a09d1fee8d78a0e27bc3d92e41b5f2d0c,0.045810797754%,Staker,
0x6165fd87c1bc73a4c44b23934e9136fd92df5b01,0.045208480617%,LPer,
0x096187368ac90c47a4df438ccba411debd25d93a,0.044879424554%,Beamer,
0xc8a9556508ec672f7c4a1fa2a9edc0326525c310,0.044649431368%,LPer,
0xfa4fc4ec2f81a4897743c5b4f45907c02ce06199,0.043915641762%,Beamer,
0x17507072c2ee8bd8f6debd38d048c8a1887b39d4,0.043698091123%,Beamer,
0x66e43a27ffbbcaf12315615f656cd0ebfa5bd6a5,0.043410548645%,Staker,
0x70144e5b5bbf464cff98d689254dc7c7223e01ab,0.043314887536%,Staker,
0x5d1124fb77c539ec92e3ef853053bbce1e98271b,0.043118783182%,"Beamer, LPer",
0x2c9f65bd1a501cb406584f5532ce57c28829b131,0.042880411555%,Beamer,
0xafcb86e56855842d7ed3eb94e722cbd68801db26,0.042377175268%,LPer,
0x38abab9766e0b27d2912718a884292b8e7eb2803,0.042339192222%,Beamer,
0x5b2a74b28c271800d743c8d9cb5edb145c32e718,0.042283342489%,Staker,
0x0459dDa9eB7062E6FDCA6293A4C363722fCA6102,0.041925487504%,Staker,
0x2d8d690272946908ab47ac17a2cdb7ec31d587f7,0.041676013405%,Staker,
0xa8a29bc8816e19d2b41cdaae48bd602180b0ff3e,0.041429437406%,Beamer,
0x26fcea16996e6dc73cfeaa1e0af772651251da9f,0.041139518361%,Staker,
