Address,Allocation %,Type,Sum,,,
0xff0fa1ea333d66a38a03ece567bf821fe43d678c,0.25%,User,,,,
0xc465190b8940c2f3d83728bc0b43aab1cc00ff72,0.25%,User,,,,
0x793a602210c82f0a109a918cfe9706a173471532,0.25%,User,,,,
0x14050ecd612907b38372396fd7d368137906dec4,0.23%,User,,,,
0x6b6cd9b3d7399dd2978c8eea35ab25d99e79be6a,0.23%,User,,,,
0xb2d6502fcfc61330141e6112abae43182d946662,0.23%,User,,,,
0x1995b18f87ef0173e1166e61e6ee53b7139efde6,0.23%,User,,,,
0xa20f9874dd1edccbec1beda894f98f45069e4205,0.22%,User,,,,
0x285fed35cbea271a711681e84ffd83c68a596a75,0.22%,User,,,,
0x8af7e4af401aadc9879b4e3ee900a7d329eaf5f4,0.22%,User,,,,
0xb9665a8ba6e62204f54850a23135a92024b676d6,0.22%,User,,,,
0x2d5c27cafca134e942482ce4316f46e31f6808e4,0.22%,User,,,,
0xfa329d83afb80ffcb7bce9a1aa8350a00e0939de,0.22%,User,,,,
0x5a213d99ab5f92dc9414357c12b86a6b0a41c3e9,0.21%,User,,,,
0xfc0d525a11bd84d3990abc575b93eb4139ac63bc,0.21%,User,,,,
0xebc0b8222b7324a359a7d102b273a76b0e5d3ca3,0.21%,User,,,,
0x74ecfaeb4298c725c0079136dec6c1b35394d7d1,0.19%,User,,,,
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0.19%,User,,,,
0x8aadeaf8ee72b0665cef04d45aca1fa85e844ece,0.19%,User,,,,
0x8d655b1af80200a6b81e11482fdea66328b16e05,0.19%,User,,,,
0x04e0946d2bf513218411466025e36fdf86f48ad1,0.19%,User,,,,
0x605088609f9ac2f1f4571c4ed57a9318dd381f0a,0.18%,User,,,,
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,0.18%,User,,,,
0x969056b11a15408db99916644c2d9e83219081a4,0.18%,User,,,,
0x8db2f5250371e83d11e2538097fe3ce3552e2b29,0.18%,User,,,,
0xbde8bf5de45338c3f0cba476343968489f9f888c,0.18%,User,,,,
0x04e0946d2bf513218411466025e36fdf86f48ad1,0.18%,User,,,,
0x47979e8775732f0f9f4d02676f054ecfc71e72b3,0.18%,User,,,,
0xf5ff296d4b9c856bed217ead0373cbd6480cce8b,0.16%,User,,,,
0x7c75d096ffe6ad3f01c6b222a9a4144913cc2e7e,0.16%,User,,,,
0xbcf97b812f055de65194342123054fb927709493,0.16%,User,,,,
0x77406bb617fbf147b0da1f3d01232fb54df78415,0.15%,User,,,,
0xa0adbfd7e6876b87f85cc332a8749ca970496a77,0.15%,User,,,,
0x1cf49a2c24656ce6be770c92f2cbef871a247f51,0.15%,User,,,,
0x8c128f336b479b142429a5f351af225457a987fa,0.15%,User,,,,
0x2bdfd0c77ecac63fabacb225fde5e3e078a4eae3,0.14%,User,,,,
0x1cf49a2c24656ce6be770c92f2cbef871a247f51,0.14%,User,,,,
0xe222ed3ca9f878ff2816ddda5987de728dca5ca0,0.14%,User,,,,
0x6717e74e32618209caa4ebaaa30f3eff40f49917,0.14%,User,,,,
0x4679d674d22f72ac0aa045d8138a269202aaa2b5,0.14%,User,,,,
0x724d304928f680aa5215a9fa4318a971949f84c6,0.13%,User,,,,
0x0195a312367441a87a861bfea62fcdbcd1e7f1e1,0.13%,User,,,,
0x64fb85a18988552473327f389f14e10518758ce9,0.13%,User,,,,
0xe605f5b2a084ca7c72c89f99d86c0fed1c0f5812,0.13%,User,,,,
0xf085548d7bbf66b8731e1a16bd891cad98cb102a,0.12%,User,,,,
0x3e3314979a1d142633ff3bbd45f9c9d963334bc4,0.12%,User,,,,
0x6a048b8ee0eb64bc2a307f14d3db317567f36898,0.12%,User,,,,
0x7532a096be1a39a87af68e3b27e06dde7065e87f,0.12%,User,,,,
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0.11%,User,,,,
0x627cf7fe2ee4e2406505e074c03b31e421a2ad25,0.11%,User,,,,
0x985199f8ee417573b0e9c25b88d556f12b59812f,0.11%,User,,,,
0x24e172d48b434dffd3215f36a09882180af2b85d,0.11%,User,,,,
0x775c5edbec648e67b2f04e37f5ca5deccffd1ce3,0.11%,User,,,,
0x1bc09946b7c42a61617f64c2e1e0dc7ed9cf6167,0.10%,User,,,,
0x0a8f0c109912b80047273b5bb0e94afc2bb05aec,0.10%,User,,,,
0x94e08736426948c5f463ac243416f0473f680b2b,0.10%,User,,,,
0x5e7f69efd594f3509039e9eb8229af90756470d0,0.10%,User,,,,
0x93f610bfd3b85bfd91f8a7af7bc13554a99b357f,0.10%,User,,,,
0x4abfcb3e2b16e788047dda9bce1d2289e8120bb7,0.09%,User,,,,
0x7acc3a5d12acba48f836e6ac5359990b085cf844,0.09%,User,,,,
0x4a79a80479399ca396c5e106a41af292e7038f96,0.09%,User,,,,
0xb32ffb6e7c0e2a55be9506eaca3799d5d10aee94,0.09%,User,,,,
0xb32ffb6e7c0e2a55be9506eaca3799d5d10aee94,0.09%,User,,,,
0xc209106ce5a15879e982da0a66bd88f5ad5e6403,0.09%,User,,,,
0x5be66f4095f89bd18abe4ae9d2acd5021ec433bc,0.09%,User,,,,
0x82e18803b9369c8210390f70cd0237480f7eb1ec,0.09%,User,,,,
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,0.09%,User,,,,
0xc660e42b0646114d4979472b30bb54fd0ffa2e89,0.09%,User,,,,
0xbde01a1082f89852fa057a9a48cebcf6667b4d9a,0.08%,User,,,,
0xa53a3b30b82aa5d998f95cab58ed5afa37730804,0.08%,User,,,,
0x4007af5c02ea3640bc008ed93d0df67de6e29ed7,0.08%,User,,,,
0xdeb7aa6e7f5b8daa43126628daecd79e853478da,0.08%,User,,,,
0x1bfd08c135cb19d4177fbc6d5ada9dfb7795ea98,0.08%,User,,,,
0xd187bf6279986d99b9dccc3fb59dc2944f4539f1,0.08%,User,,,,
0xe126c916abe6e5e673d965e8bc6c5c0b5ead4ffb,0.07%,User,,,,
0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0.07%,User,,,,
0xfbe8d0396f2751fac611a7256217b8d5737b7085,0.07%,User,,,,
0x04e0946d2bf513218411466025e36fdf86f48ad1,0.07%,User,,,,
0xedc5ffc0278ff657307516630fd6c9db5e34a3ea,0.07%,User,,,,
0xecb7e6f3b6d3ba068cef7c79b73629af79ea6f40,0.07%,User,,,,
0x793a602210c82f0a109a918cfe9706a173471532,0.07%,User,,,,
0xd6a0e451362a5398996b45a6450f0e62d75ddbf7,0.07%,User,,,,
0x29109f6812e50e24ee66abe4b3f2e597646053c5,0.07%,User,,,,
0xa1cc29254b8bdd0de72c41ffdb84c83d0c754c45,0.07%,User,,,,
0xfbe20a8267b1a58e3ce1fd16be2ecc0164d99078,0.07%,User,,,,
0x1476cb6fc1980774fb968f9a0ea6880d44792364,0.07%,User,,,,
0xed80f39cc520f4258813cb4aaae6563661e19b12,0.07%,User,,,,
0xebc0b8222b7324a359a7d102b273a76b0e5d3ca3,0.06%,User,,,,
0xc437b7985468ec7fc14f2a810b852f400a918392,0.06%,User,,,,
0xc209106ce5a15879e982da0a66bd88f5ad5e6403,0.06%,User,,,,
0x94e08736426948c5f463ac243416f0473f680b2b,0.06%,User,,,,
0xbea511073f3a1381c47c51a87c761180b64d9a13,0.06%,User,,,,
0x24b57ac26285757914f29900c65b2dbd3222860b,0.06%,User,,,,
0x03b3d42950a39ce68b68b88590c8baa6aa277070,0.06%,User,,,,
0xaa3279f1e2f9d53ed621e84137b48882caf7fa0a,0.06%,User,,,,
0xb64c6bbbce0dfb639be6154a7619dff5f20436c2,0.06%,User,,,,
0xf7eea9316ef65b9644cea56ed191df259723f57c,0.06%,User,,,,
0x33c821a01cfadb52b91e8c6454fc3e4ff322212d,0.06%,User,,,,
0x17ea85484cd4e97be63fc02f20a196edeaa937a9,0.06%,User,,,,
0x04a71a3ba3b400981bc9538891a9e65d37675dd4,0.06%,User,,,,
0x424ae2307681f3afa8de17088dabb24b6d1e78a1,0.06%,User,,,,
0x9eeceec01ac7be64c747b235552a2357af8534c1,0.06%,User,,,,
0xa94a8ee6c1aca180fb0f60542eb9a6303b48110a,0.06%,User,,,,
