Address,Allocation,Type,
0x39FFf27668dCd012462d90f4e3836e7c69750b7e,0.05409285940865150%,>100xp-user,
0xe7edbc25d762Bc1ac26DDeF673F3dD9D3C5E9cf0,0.05309113978997280%,>100xp-user,
0x9dA0A4018237A8B68074a1c340D62d1fC735a655,0.05309113978997280%,>100xp-user,
0xb40aFc5fe769f8B6A0CBC24190d460f77a783393,0.05208942017129410%,>100xp-user,
0x882d20104AFE7A64E45C7242891db66Ad0879dEC,0.05208942017129410%,>100xp-user,
0x115FF84C384461B0B82F17ba58B4a5171C03d764,0.05108770055261530%,>100xp-user,
0xF80c2B2DFE86DE07a2e4f73eDdCA3BB7037baE9b,0.05108770055261530%,>100xp-user,
0xd5e6f34bBd4251195c03e7Bf3660677Ed2315f70,0.05108770055261530%,>100xp-user,
0xF414194F2Db1136f22C9a02ab788dfe2BA5a8B5f,0.05008598093393660%,>100xp-user,
0x560f7D7805dC192b06B80a63A49e1Ac094B5D126,0.05008598093393660%,>100xp-user,
0x2711D47B32516cBaC68e5F1F084647b0f31BFbd0,0.04908426131525790%,>100xp-user,
0xB189D040d2F46999287BE4faAf8301a7dEA26Dd1,0.04908426131525790%,>100xp-user,
0xB41702F7981629b912b3806F0139F5FE94Ecc215,0.04808254169657910%,>100xp-user,
0x1412FeA7070345Ae6897494A1B897BFF5D0a26A0,0.04808254169657910%,>100xp-user,
0x2F6a064c504D085b995A57844b1937a5A744511A,0.04808254169657910%,>100xp-user,
0x476ECf8f79EC6C614b421E095A7117cFe228D73d,0.04808254169657910%,>100xp-user,
0xfAdc0DCdbAc33Ba12679eD4ad39f58CF4591b8a5,0.04808254169657910%,>100xp-user,
0x37b722CD72b5a5927179f5a0F4c4589a743Eb440,0.04708082207790040%,>100xp-user,
0x55a75B6DaB623AB4699fa18B7d11d3D4671de63c,0.04708082207790040%,>100xp-user,
0xFE2D60C5C957458709b4a78e43F2baC591cDABAF,0.04607910245922170%,>100xp-user,
0xCB6D04147E32EB73765dFe1a2Ab2cdfd1C631253,0.04607910245922170%,>100xp-user,
0xC6c762eD923a0bf6D9aBf44E4FcA0dC7d90a945B,0.04607910245922170%,>100xp-user,
0xdD61b2a56E18b1cABAbbCd4184e23Cf270218EcB,0.04507738284054290%,>100xp-user,
0xD24107F89B246cDf0489483C16aB25094a233521,0.04507738284054290%,>100xp-user,
0xDA83e841a0261320e4Fdf5C5EE982518649fbFF2,0.04507738284054290%,>100xp-user,
0x55E80aE79a8753A115622d27287ddD41005764af,0.04507738284054290%,>100xp-user,
0x98a274bB5B21CF554a0A80A5BBd41Fe74CaeDfA2,0.04507738284054290%,>100xp-user,
0x86aFf01440A9FE1C95ba5Dcc7c4D6BBfd111442E,0.04507738284054290%,>100xp-user,
0x84Df064d561E5A896975267bb348f5f7C80F27c7,0.04507738284054290%,>100xp-user,
0xb200D1d54efEf1928d3Fc985907601B23863225c,0.04407566322186420%,>100xp-user,
0x9DF1746Be8312D77a70EFbFa20541639E7332691,0.04407566322186420%,>100xp-user,
0xC40b4c08d763e8daf1090eE4fd0ce9F2Db13B501,0.04407566322186420%,>100xp-user,
0xcAe9CAE4CeAb6B5671df5cd558060eb2e887DDa2,0.04307394360318550%,>100xp-user,
0xedD3175D0b2972D05d06576314417Fa519A7e5f1,0.04307394360318550%,>100xp-user,
0xf0DD12EDa445711eB165c68A9B2210861bB22ED1,0.04307394360318550%,>100xp-user,
0x13D1BC2f38a370c77e9b38839542CDA021Ba9e8D,0.04307394360318550%,>100xp-user,
0x0Ba820D2253De0D0160037F999108162B5342948,0.04307394360318550%,>100xp-user,
0x315fB1F2a6bB369a54Bd0a104A8fBc554D17d850,0.04307394360318550%,>100xp-user,
0x1f0160959d5B9773c9bfD669BEe6EE443a3Ff4cA,0.04207222398450670%,>100xp-user,
0xAB060E12d6Ee092332A3A947A5714C063A206441,0.04207222398450670%,>100xp-user,
0xaCd97EaDEe0b88CF63D87e441962f5d5f155B7CC,0.04207222398450670%,>100xp-user,
0xFCE8d3bECa6fE24CcDCdDA28ca41B3758e448a2f,0.04207222398450670%,>100xp-user,
0xdf5B9Bb619Ac16c77354610E83ea6F3DcE35Cdc3,0.04207222398450670%,>100xp-user,
0xD3a5A3B167fF2eab162E1E8a69B5CDbb9C68BA3E,0.04207222398450670%,>100xp-user,
0x817A322D652Ad609986c56EeBD3375fb9F0462A2,0.04107050436582800%,>100xp-user,
0x57e6ee00a8F62C85113DFb5ec6b09B03cc24858d,0.04107050436582800%,>100xp-user,
0x436280C7a5a7630F9ee34554D9760b89a699b2c7,0.04107050436582800%,>100xp-user,
0x4b8f3cAA0b93550379c936A4Fa9C96A0458B288B,0.04006878474714930%,>100xp-user,
0x8b7e4F191D13efE59cCDF935f62Eb515b220A6A7,0.04006878474714930%,>100xp-user,
0x9bf19A5149631a2bc8c95eFE49BDB7464FdBa510,0.03906706512847050%,>100xp-user,
0xa499647E22c9b2F6d5597b217E2D9EFF2289D1F3,0.03906706512847050%,>100xp-user,
0x664Fe01207Dc37C84A97A8dCdC28bCc1Da6bEE57,0.03906706512847050%,>100xp-user,
0x6aE08ac83fD55D1E39b4261C2A0B7a727F89b009,0.03906706512847050%,>100xp-user,
0x611bD72E40B08396220E3033c7430EAe067686e5,0.03906706512847050%,>100xp-user,
0x48a4eFE011C8e874E3CbEAC23bb6325Dee29F727,0.03906706512847050%,>100xp-user,
0x5BE93d75cDd32B5563a791783dbB05Bb98129e85,0.03906706512847050%,>100xp-user,
0x2cbD6c4E5dc1A0a81e5b3900823305AF0a177f4B,0.03906706512847050%,>100xp-user,
0xE3F5Ebab783B3284120ADd823E99F07efA724742,0.03906706512847050%,>100xp-user,
0xF921Bd77E005c39453343aF36Fbc08bB5c4C5A37,0.03906706512847050%,>100xp-user,
0x35d1Ca7A982D65c784361501e0AaDB1Ab1D4cc1B,0.03806534550979180%,>100xp-user,
0x71e9A3eeCd8c3d29e822ed246c2c43092030AA97,0.03806534550979180%,>100xp-user,
0xCa226ce07450b4A6EB9cfAF1B753740bFbDCEcc1,0.03806534550979180%,>100xp-user,
0xc0A10B078Ef1E84a223aDF7020bAc55CCdD2C026,0.03806534550979180%,>100xp-user,
0xF0dc9b0cDFAda96eeeC67B684B70d2c90A840170,0.03806534550979180%,>100xp-user,
0xd915185860C732c991bE071948e24a1d01F062f6,0.03706362589111310%,>100xp-user,
0xdB28B8F5480645D4aA680E9fc83C1bBAec32FE33,0.03706362589111310%,>100xp-user,
0x7fAc5C5b7E6D24614D7Db1489486142d680AbbC8,0.03706362589111310%,>100xp-user,
0xFdfC4E7C4ED325F00E7F179D30339B3a223fC344,0.03706362589111310%,>100xp-user,
0x7890937A64F1aba66b136d2283F265175fc60F3C,0.03706362589111310%,>100xp-user,
0x5a3e010dec58Bc934f167C66F2Cc96b8bCB69d97,0.03606190627243430%,>100xp-user,
0x422c57F5928F1a4D0aD06D20081428D1Ed0F5e3C,0.03606190627243430%,>100xp-user,
0x03E0469CA10c8B3A76A5312fB6f2A06698934BF4,0.03606190627243430%,>100xp-user,
0x205a28F815Bd955c2817282Ae9F2d8Faab8915e6,0.03606190627243430%,>100xp-user,
0xE6f3ec86045A9d1Ee704ff2828aDCBDeCeA200BE,0.03606190627243430%,>100xp-user,
0xbb30B97E24A2FA4f4E8AF6176a21E03bA5f48E24,0.03606190627243430%,>100xp-user,
0xe5AaDE0792513AE0a69B765f78cf2e6b24318541,0.03606190627243430%,>100xp-user,
0xfF36B5BC332c1Cdf43c2f23588d33CAF48aB5123,0.03606190627243430%,>100xp-user,
0x1e843E199fa59A5A7fAca89EBd8e69BA3C9cef22,0.03506018665375560%,>100xp-user,
0x24Df8B15A315641A7dB321aE40b380A5051faAF2,0.03506018665375560%,>100xp-user,
0x836a90a8e106B0D29b4Bd23fdab02bfB6D20d547,0.03506018665375560%,>100xp-user,
0xA9b6580c5c6B108a6314Ce17D75E09Ac020FA32F,0.03506018665375560%,>100xp-user,
