Address,Allocation,Type,Sum Check
0x3514fe461accd91d896f0a49d39ba39edffea9cf,0.1099%,Token Holder,
0xd6eaea77372aad9a7b66b970d4518d794fa8d3de,0.1099%,Token Holder,
0xb7b9d1abefde7526fa8f408a69d471779fdbb6b3,0.1099%,Token Holder,
0x85fe5dd60cc870f040a2891aba0b44d01dbafcbc,0.1099%,Token Holder,
0xc7d7189a76a3d467ca7538174df4640d8f6639eb,0.1099%,Token Holder,
0xa579163ceb053f8db4de84ad0e4e2aacaa9b50a1,0.1099%,Token Holder,
0xdbcc97577c433ded3728375a716aa07348516d7e,0.1099%,Token Holder,
0xad5f74c8a676a9fb465cc2e5831f113e2c20466e,0.1099%,Token Holder,
0x93f391674cf7a8b59c41a58243a92e4cb225b19d,0.1099%,Token Holder,
0xeea45c31b0131c41b7c8dc5a4a93feae475a80ca,0.1099%,Token Holder,
0xfb84d29241230a26fd86726875046e5a8bc04cb5,0.1099%,Token Holder,
0xc2a7e908546a57402972eb59e115491975e48a43,0.1099%,Token Holder,
0xeef21e45bf741a93a2b4c3a15deb12c65b0a0e16,0.1099%,Token Holder,
0xa10d37c1e68b14ad0d60a3a74ed8131221a183fa,0.1099%,Token Holder,
0xba79cd9a31b620690a689b43a770a4902f4f7664,0.1099%,Token Holder,
0xcae3069bbb8af78ee37a7cda797fce92424a88e1,0.1099%,Token Holder,
0x2914af76734f4c2e91494ccd551fb9d0c4c5a44b,0.1099%,Token Holder,
0x97ada571168060f308d9c7dd4bdc21b244a030c5,0.1099%,Token Holder,
0x80f319479b90d86356381c36163a5f1704c43039,0.1099%,Token Holder,
0x687aae54a3e9b623a0c8351520aeb2e1806cf766,0.1099%,Token Holder,
0x012601876006afa5edaed3c75275689aa71d8cd2,0.1099%,Token Holder,
0xc65e9c99ea61d78c3fe4e54f63229a69317ed0f7,0.1099%,Token Holder,
0x2057cbf2332ab2697a52b8dbc85756535d577e32,0.1099%,Token Holder,
0xdac9931bccece77c17a7473b2f12e074bd428288,0.1099%,Token Holder,
0x54d9a28ab618310c146c48321a4bc3d5ffd32971,0.1099%,Token Holder,
0xc32eb36f886f638fffd836df44c124074cfe3584,0.1099%,Token Holder,
0x89b5f4c87468a49c8500b52cdbb82068af413b3e,0.1099%,Token Holder,
0x9f9d43a3f5ff532c776e994ffa6f66532b79e51d,0.1099%,Token Holder,
0x8159493f165685e8367264b454024f948012b0da,0.1099%,Token Holder,
0xf2c333a41e74ae3e23feb311e5eb5d4de61af975,0.1099%,Token Holder,
