Address,Allocation,Type,Sum
0x8400336c59342daec4a96d9e5f8905b3a791fae5,0.0068579201576250%,ASTR OFT Holders,
0x92f92f556acd505697a5180d9fbef4a221930a61,0.0067163575703840%,ASTR OFT Holders,
0xd4ec964bca56fbbd99e10ee9e3e0bdbbd198ef39,0.0064554328217928%,ASTR OFT Holders,
0x48bbdecb623cd061674dd9b7780c9958d1042df1,0.0064348989354209%,ASTR OFT Holders,
0xc2fc3dad728c1a4ee0a307aa12c53b43ea028bec,0.0063351438347138%,ASTR OFT Holders,
0xe29159eadad790223b127e33c4b55e3cddadc5a6,0.0062486337502244%,ASTR OFT Holders,
0x6b336e0a5266cc4778a86e6a8e0ac3d4c0e760e5,0.0062166004126444%,ASTR OFT Holders,
0x833f3e290acb0a9697b4ff53be3d5875916f4628,0.0061479581384867%,ASTR OFT Holders,
0x083296c75775aef16aa3c49dd45446d88db68918,0.0055239145611693%,ASTR OFT Holders,
0x8f4c28d40ee88a8dcd747e7916bb350b4fbb648f,0.0051634489052949%,ASTR OFT Holders,
0xeb5887734e12dce3f0ff264ae50ce2d4cceecc67,0.0050773914235400%,ASTR OFT Holders,
0x51d7ad5db9f3a67c4ac97fac2d6b91b8f95781b7,0.0046303759238025%,ASTR OFT Holders,
0xbbeaa529264a43ea4cdee9e5b68b6eb5f986caab,0.0044709624936991%,ASTR OFT Holders,
0x442c5676e31df8e0018c949b09141fd333980bcc,0.0044310997355606%,ASTR OFT Holders,
0xd7c9fa90edb7b40c34d6de1d09c750146ba2e8eb,0.0043896559824495%,ASTR OFT Holders,
0x7d4ad04afc1f0446b4589cb744a8f16f53f12cab,0.0043286913322723%,ASTR OFT Holders,
0xd3ae3c8e2700eec76a9823d6a4bc4e11b22adb28,0.0041413281291229%,ASTR OFT Holders,
0xbe02560c6a175cf1b73008835906c9cafdc6ad3f,0.0039549456106557%,ASTR OFT Holders,
0xff83b158bae1ff6c1831e057925a1f4e20311011,0.0038725866789712%,ASTR OFT Holders,
0x25e8fbd4a79423265ce0b66f32a9c6d1df855ee6,0.0038225831969322%,ASTR OFT Holders,
0xecac26ebdc3beda07697223bc6a1ff49197f1b52,0.0037004717154614%,ASTR OFT Holders,
0x75b45b5b53dabbd74cc0a6155522aa7265a73f1e,0.0034379963961089%,ASTR OFT Holders,
0x5c36ad36a0c45966d51d2fa4ad37ac0cf93690e0,0.0034050476899875%,ASTR OFT Holders,
0x6d44ef9e2fedfea0814b35d8d734e11c18710f61,0.0033757900371645%,ASTR OFT Holders,
0x4a3a7559f64f1260eb86daa7c3928843ed2c29a7,0.0033535234275143%,ASTR OFT Holders,
0xb680c8f33f058163185ab6121f7582bab57ef8a7,0.0032946667816152%,ASTR OFT Holders,
0x9f3e932f4c44ce983b2257cf5f9ecc95b212a5ae,0.0032582082857930%,ASTR OFT Holders,
0xb33714276680d9162ab75fb1399b4300a0ec5fd5,0.0032228526920188%,ASTR OFT Holders,
0xd565ee48560be31bda54e4e738e398216d43a664,0.0031755210767564%,ASTR OFT Holders,
0x7b98df6b658135964a3e58127e3d4bd2e60d80f4,0.0029259543796671%,ASTR OFT Holders,
0x46c84aa1942587706d8135676274fa32075da993,0.0028877388062058%,ASTR OFT Holders,
0xfe83d98a7e7612c36c3ee5ba9825ac494418c0be,0.0028394638916535%,ASTR OFT Holders,
0x820b52287ef9e5248e929901d036ba06dabb48ee,0.0027830989599540%,ASTR OFT Holders,
0xf1498c51829746e1279e8ebe52c8c04f06bece94,0.0027829437353743%,ASTR OFT Holders,
0xe9edfb33924b5b812350e135493680f8a9e3a2df,0.0027772790807317%,ASTR OFT Holders,
0x6b8fadfda53d68ade25870e9f585de96dfd67269,0.0026075416971739%,ASTR OFT Holders,
0x92b52e6441a9e2e03d080e951249d93df222f855,0.0025817244526475%,ASTR OFT Holders,
0x52228e80a47cba170893019370879259304114b3,0.0025767440996857%,ASTR OFT Holders,
0x4e544b38aa917d2348313a93901c490eb4f1981e,0.0025645129562965%,ASTR OFT Holders,
0x531e5ddc23ca92c55a86adffd95638a7931efd3d,0.0024471408819492%,ASTR OFT Holders,
0xa770e28d00595badc3e950127311f86755d21ac6,0.0024010037409621%,ASTR OFT Holders,
0xa178b6e33e3c6e180902b32c8983e0906e192545,0.0023596961497198%,ASTR OFT Holders,
0x26b1092abf2b960aceeb29fe10a74643db993247,0.0022589961838217%,ASTR OFT Holders,
0x5908fdb0bea504552a3a89c40d1c553a16db0acb,0.0021893023358451%,ASTR OFT Holders,
0x245571a34c7a2ffe46efa39549874f26f1d9942b,0.0021781148632169%,ASTR OFT Holders,
0x08f27f015a8b31b0efc595a16550badcb42d0e55,0.0021514370438729%,ASTR OFT Holders,
0xa9f12ca1b27941c05e3998279c06b81b8e33ca81,0.0021514370438729%,ASTR OFT Holders,
0xabb11937446e37360acd0a2544e416566d9b0dcf,0.0021514370438729%,ASTR OFT Holders,
0xe94a007d9bbb2a0ef512ca5787833799a402cd1a,0.0021514370438729%,ASTR OFT Holders,
0xabc5124877eb133880eee5fb38083fde10bc49fb,0.0021256197993464%,ASTR OFT Holders,
0x434eb082c3f8c3baf28554c2959c01299a0aee9c,0.0021253264515822%,ASTR OFT Holders,
0x9e725e0916675bb4f7c00a3cecfde4f50b932cc6,0.0020653795621180%,ASTR OFT Holders,
0xc3eb36fda79ff70de107e6a750c5dd493e9dc882,0.0019922307026263%,ASTR OFT Holders,
0xbb369a1ab81d4c566f68c2cc9ed6952c8d543934,0.0019707163321876%,ASTR OFT Holders,
0x1967f7305aa8ba79b9266d884fdd863823a7bbe2,0.0019436431709410%,ASTR OFT Holders,
0x0943027857f1c0b2987ba8195e64b8b882c207b9,0.0019362933394856%,ASTR OFT Holders,
0x72c4d33003d43b3e0447a6a77820c5349a2c5ce7,0.0019362933394856%,ASTR OFT Holders,
0x002a6b6a1348b33d03ab66fcb64937b8cbf2aa7c,0.0018788564222944%,ASTR OFT Holders,
0x7488adfd1a8a86504149b5a88c8ac33effaaa9b1,0.0018753967677899%,ASTR OFT Holders,
0x40d3aaf33366576a7fc3987b047a4d2c8d77ea4f,0.0018717712736805%,ASTR OFT Holders,
0xa343ff724d31c9e647e765c449e63c34bdd5ae7f,0.0018528175821833%,ASTR OFT Holders,
0x48809a0888be0a88ebe253607c027ee635a4706f,0.0018294147935555%,ASTR OFT Holders,
0x707142511650f12ea9a87565cffb83396a0f3936,0.0018072071168532%,ASTR OFT Holders,
0x4f55a702796a38eb130bf0db4795f12064d60095,0.0018054859672181%,ASTR OFT Holders,
0xa81361f7833d96d351b1d044940a82cb259b21a7,0.0017710629745162%,ASTR OFT Holders,
0x4cf332cdbe96fe798bfcd765b481d8d7df8f58b7,0.0017641783759758%,ASTR OFT Holders,
0xf9a0bb079432455e4616fdbb8c59e240a48a5b89,0.0017442947466965%,ASTR OFT Holders,
0x1de9efb7779f51cd7d7924c5749f8d034a880a2c,0.0017409428559019%,ASTR OFT Holders,
0xcc70d29f9f37424ee2d02fa37506e94a0c0b740a,0.0017221134788940%,ASTR OFT Holders,
0x0e81e18ee1f9ec9086749c9c3214b696065776f8,0.0017211496350983%,ASTR OFT Holders,
0x4804b0423b1d987db5cbc8d78dea257a8744dac2,0.0017211496350983%,ASTR OFT Holders,
0xadb23dfba5b01c772b7c891e9640fc34d2aba131,0.0017211496350983%,ASTR OFT Holders,
0xaf95c1022817a47d23ac90da77be788d66ccfa69,0.0017211496350983%,ASTR OFT Holders,
0xf61871f7ccf92aed244b4e0f3f4f966c2fa009d5,0.0017211496350983%,ASTR OFT Holders,
0xea3ea8e742196289c909817612ec1c2df89812c5,0.0017086284984238%,ASTR OFT Holders,
0x6ea4ec30fd0bd5fe3b82f6461fc35878450c8049,0.0016350921533434%,ASTR OFT Holders,
0xd3f8519012982c29efb53fe44caaf66e3af580d7,0.0015920634124659%,ASTR OFT Holders,
0xf62033da03af71a148eb5dfa34574c7d3e2b03ce,0.0014970799996525%,ASTR OFT Holders,
0x79dbeda13a7cf4f4f9bf65694540103c4f56228f,0.0014965396077180%,ASTR OFT Holders,
0xc1204ffe239df09d52393983a1eafce0fbaf8044,0.0014653601478369%,ASTR OFT Holders,
0xb2b9b19750fe287c935ba53d911eccdf29826eee,0.0014629771898336%,ASTR OFT Holders,
0x30c469826a1114ebe19c928d64dcf5294e452446,0.0014203928145067%,ASTR OFT Holders,
0x96fc81b6cdf36f0c964dfd3c19abbbad144d65cb,0.0014079115634425%,ASTR OFT Holders,
0x42fa6ca0539c62ba4d6cadcf0eb9054f77588ed9,0.0013994707424329%,ASTR OFT Holders,
0xd35d748b607b5667ce905cc130272740f8639e9c,0.0013769197080787%,ASTR OFT Holders,
0xc7186c4a5dc6e1b744c5e006768c7193676fa67c,0.0013553231143816%,ASTR OFT Holders,
0x67dac0bbd22ab2821ea982ac0542f6c409cafe3a,0.0012909037570966%,ASTR OFT Holders,
0x404f583833d0a05156ff6003da652b6031ebcb55,0.0012829755341577%,ASTR OFT Holders,
0xdd2995767419cc6450a3326ff88fe7f7838b73b1,0.0012779536040605%,ASTR OFT Holders,
0xb3b535c41800b58fd8d52c3f312524500557e469,0.0012736507299728%,ASTR OFT Holders,
0xad6aa02b939c07680e4b65bd5e0d3f6fc9cf0932,0.0012586000612820%,ASTR OFT Holders,
0xd90485a3c4e7c6d4b473d102c0633eb9038c7ca9,0.0012194883337443%,ASTR OFT Holders,
0xe136a2adc300da448c2832f0c77ef292a417ae64,0.0011776971498580%,ASTR OFT Holders,
0xb6395525819a4a3d74be262d1a9d0c7adfadac00,0.0011617760036914%,ASTR OFT Holders,
0x7454d3d29bf4f0b9879d54b932635cc805385a08,0.0011608709603913%,ASTR OFT Holders,
0xf91fc7e0e1d9db014bd7633b4072406cb92a15fc,0.0011487290728687%,ASTR OFT Holders,
0x4817de23643ff1080f62c105aa0f39e0b47aa0ad,0.0011419944654201%,ASTR OFT Holders,
0x1b9243991e1321d53f3d5ef417bad563a592b58e,0.0011412263714671%,ASTR OFT Holders,
0x00419d32ff2f7fd3b70274555dbc6928b94e577c,0.0010992582647088%,ASTR OFT Holders,
0x3bc5e956b9b81ff6aa7fe9f06f2112670647b950,0.0010982043209285%,ASTR OFT Holders,
0x989b5ad6e23792dac03c308f762d07037bef9293,0.0010761856267930%,ASTR OFT Holders,
0x75b815d808ff5a25477486809449e8dea21d2f84,0.0010757185219364%,ASTR OFT Holders,
0x8b6b91b152e56749c5da8d3cab49e490115bb888,0.0010736214890560%,ASTR OFT Holders,
0xe0b2add5c2d094008d014369ab6bc5c42cf3acad,0.0010688339233961%,ASTR OFT Holders,
0xb9b6590e421236f73ba74b4a264f7e6ad648dd91,0.0010511537693627%,ASTR OFT Holders,
0x61a67b1e39041e6f1534bafb1d26a080e9866eff,0.0010326897810590%,ASTR OFT Holders,
0x9a98a4939c8ac8c642b78317576c31f1e3686139,0.0009750312682832%,ASTR OFT Holders,
0x64739640e38f55e6bf1e72a3b10405395f71fb45,0.0009735610880278%,ASTR OFT Holders,
0x013cf95818da12d008ce1acb36ccc1c396988be4,0.0009616768356762%,ASTR OFT Holders,
0xd9f65d4928e2c1f2c0318c589e4a129010bb1b1a,0.0009535168978445%,ASTR OFT Holders,
0x7bef7fff4b2dcfc39ed2ab73a9c4a8c5346b5282,0.0009506503993626%,ASTR OFT Holders,
0x4580719ab87eb414df356c423badeb95b71e13cd,0.0009466322993041%,ASTR OFT Holders,
0xc4df5f2125151bff3a6aa7328529eae1b9d3cc31,0.0009466322993041%,ASTR OFT Holders,
0xc89ad643e0445d4dc138b7154a30148fd4c56d19,0.0009450355703118%,ASTR OFT Holders,
0x5794d36de0c21211a7906688981371132bd7c6f0,0.0009373771630369%,ASTR OFT Holders,
0xeb20774944566d77650ca40c575474ec7ff18b31,0.0009363289461989%,ASTR OFT Holders,
0x457f48a0bba2d1ab06ad6f9b5f6d8ee9c457bba1,0.0009130856256606%,ASTR OFT Holders,
0x581886c23be681a7f9e86a89e5dff743b2cc09d2,0.0009084599895123%,ASTR OFT Holders,
0xa0b0139decb48fb56e51a8723c6c72dd561a8ce3,0.0008994415536073%,ASTR OFT Holders,
0x40938373f78a56250de3053123bde6c54da2a701,0.0008984401095213%,ASTR OFT Holders,
0xb72b48560f7aa8308689a0632fe9da47b933c90a,0.0008932130485541%,ASTR OFT Holders,
0x1c788195be7a705ae44a1130c25b20acc26dc434,0.0008898781127659%,ASTR OFT Holders,
0x50495946033ecbc8699c526cd8a5f9c6e420c0d6,0.0008838295514642%,ASTR OFT Holders,
0x2fc9a2d74133e2eac65d5786884b0bf16ba52b53,0.0008760651642650%,ASTR OFT Holders,
0xd4580288b322977ab5317e6474a19cc78097caf3,0.0008734834399181%,ASTR OFT Holders,
0xa1e8260f024eca7e571bd09b21d71372fdeb5a21,0.0008612927796291%,ASTR OFT Holders,
0x6aa181b9eeb1a2273c280fd403d6f2aa299c12b9,0.0008609233767126%,ASTR OFT Holders,
0x0c63dd4116084f4ceab5559c745e74720257ccd4,0.0008605748175492%,ASTR OFT Holders,
0x1d418ec7d42e8bc43b026f117679ec348ccd9174,0.0008605748175492%,ASTR OFT Holders,
0x68a587ba35e888082f4b3f79db3eb62133c36d74,0.0008605748175492%,ASTR OFT Holders,
0x69812eb8d137e10a1e2ff97ad0e919f3082205cd,0.0008605748175492%,ASTR OFT Holders,
0x6d3db011d2361b3d29179c5c33ac693fec9042c4,0.0008605748175492%,ASTR OFT Holders,
0x737256e3b6cbb8ddf07d073c22b10bae09c08082,0.0008605748175492%,ASTR OFT Holders,
0x8ba37484b16fff196d05bb15329f61e00564d286,0.0008605748175492%,ASTR OFT Holders,
0x93acfb76074246f6a840f505de82de9cf06c8b3f,0.0008605748175492%,ASTR OFT Holders,
0x95897dd74b3d1ac941612b190c58537940486f80,0.0008605748175492%,ASTR OFT Holders,
0xa81afe449a2046025a6b6f6352898cf74f232ea0,0.0008605748175492%,ASTR OFT Holders,
0xcc5bd3b1a3b25deed6cd255acb3b2ea9f99efbef,0.0008605748175492%,ASTR OFT Holders,
0x6f7bbde1fb04d10bf9a44d1b9950033668163362,0.0008519690693737%,ASTR OFT Holders,
0x5e639fef847a16fbfbeff428685e6cd62c828132,0.0008339651235099%,ASTR OFT Holders,
0x3d51847413663696741ccc5081c1e9744b01c3e7,0.0008003345803207%,ASTR OFT Holders,
0x31d0e99cad9f8c9088c2c749342c13b8cecc8829,0.0007923780903654%,ASTR OFT Holders,
0x471db6c0dcfdf66f78bd78ea0efb5c45b8c7382a,0.0007789114337321%,ASTR OFT Holders,
0x3ff3d1f5e61b3807ebcea29154b7f0516ff9f7e4,0.0007745173357942%,ASTR OFT Holders,
0xc900044bf8ed3963f706c472436d95708b22a729,0.0007745173357942%,ASTR OFT Holders,
0xd737cdcc21c25914c52df4843b1176b38b4d3540,0.0007727961861591%,ASTR OFT Holders,
0x63466393a5590be4932712b4f5389f1fbed67f28,0.0007659115876187%,ASTR OFT Holders,
0x784a80c4e5452bc47447b23f4961e17a6f989d38,0.0007633859436322%,ASTR OFT Holders,
0xf80185252031876f02667cc593b907a4ab6934a2,0.0007601350698919%,ASTR OFT Holders,
0x624f4f15361a945e0a5afe71e5e0c0d364bbda7b,0.0007573058394433%,ASTR OFT Holders,
0xc7bcbd19c156fb95b0a8132f5f180f6cc1178841,0.0007537083214907%,ASTR OFT Holders,
0x20cd52aa66243630ec6a33fe98118c53522cb18e,0.0007441183691285%,ASTR OFT Holders,
0x72d1befb45c38e2c137fa30c5e222ccd3629c110,0.0007428046713666%,ASTR OFT Holders,
0xf3804f7692893276674162e67e3327c04ecb0824,0.0007320224232453%,ASTR OFT Holders,
0x0f968801c6165c5d4207118d01f96f9c79f8d8bf,0.0007271915363625%,ASTR OFT Holders,
0x23b6e51f10c555d45b22dfadced703bc5a15451c,0.0007265721404696%,ASTR OFT Holders,
0x8028059c482069526d9b552296002d4273368619,0.0007235118483162%,ASTR OFT Holders,
0xedb6cc5aad830fe34e4aec759c1f852dce7a7b1f,0.0007107763231985%,ASTR OFT Holders,
0xf89be7f8e9b3e5bde7c17781c6b0263e1b76ccdf,0.0007100068419861%,ASTR OFT Holders,
0x3e941d23f241885784ef72bfb2b5f040252f1739,0.0007056567501815%,ASTR OFT Holders,
0xc205fb65ab4c6913f558c3d530b734e9404b8bfe,0.0007028076214143%,ASTR OFT Holders,
0xee4b0245abe70ea639285c481543f4aa2b122d63,0.0006970656022148%,ASTR OFT Holders,
0xbfc540fe2e9710ed9f45e8f4efc2089152cc6360,0.0006902265622791%,ASTR OFT Holders,
0x9362b53a6a8b723c0635b0f56ca78e4a8596849a,0.0006884598540393%,ASTR OFT Holders,
0xada90d476ec7de6f650099fd6f26f9616cda4961,0.0006884598540393%,ASTR OFT Holders,
0xc6f5affa134c740a6312018fe2c7987c5ec4167c,0.0006884598540393%,ASTR OFT Holders,
0xdc8620819de911f62bcbb320397c36c701e28542,0.0006884598540393%,ASTR OFT Holders,
0x779a8d4dd41a0f07857074fa83cb7ff8a1af2b5f,0.0006877614683026%,ASTR OFT Holders,
0x80a7b37f8e813929680a4999b1ae2be8ab49f216,0.0006850175547691%,ASTR OFT Holders,
0xe34d9ee2d61c81ce33c2052b1f8ce096780acecd,0.0006760385172200%,ASTR OFT Holders,
0xdf73dbe9020fd06e52644f4bbc8ed449db29abd2,0.0006732068996577%,ASTR OFT Holders,
0x255b7833ad17851276be013fdfd81e13223d884c,0.0006681620716700%,ASTR OFT Holders,
0x938bdf1d5f2608a1ef5eb7b11819e440160284ea,0.0006583397354251%,ASTR OFT Holders,
0xa3c0515a4384edf16f11ae5e64d7f086a142e2c9,0.0006454311131619%,ASTR OFT Holders,
0xfde11ae9a9bd4555922d78fb98a924ef402580c9,0.0006454311131619%,ASTR OFT Holders,
0x043b44fc60c7d19b7238fd783d277e0ab810be19,0.0006282196168109%,ASTR OFT Holders,
0x1179e398090a8ef78b11dbb524eb5f216b3299a3,0.0006255517328038%,ASTR OFT Holders,
0xed1e413ecf85eb0f866e435adc15fe34ec7ba58d,0.0006240143281864%,ASTR OFT Holders,
0xde0855880c4f71796425a5c4311aa2fd02c9cdc6,0.0006118686952774%,ASTR OFT Holders,
0x98fb2d7b339cad2b45a6eb9f580d9e7c2478b089,0.0006075658211897%,ASTR OFT Holders,
0x08e20ee52328ca5d82ce0a2af38f2bcaabdfd09b,0.0006024023722844%,ASTR OFT Holders,
0x3f945bfacc8cd9509168bf39cbdc4d1c31ba1e55,0.0005998206478318%,ASTR OFT Holders,
0xe3db698cedab1065f46c21ecca221a0af8b888ee,0.0005937966241089%,ASTR OFT Holders,
0x410a6c7d7e4bdf6b6e8a63614c8ff30bb24fd72d,0.0005888072091744%,ASTR OFT Holders,
0x753408e0d3d3be3f41de1e4ee86f13079460a1d9,0.0005749586410635%,ASTR OFT Holders,
0xabca0befec85f88690e48b74f4b8f6faeccd0faa,0.0005679793795824%,ASTR OFT Holders,
0xd65ca88a40c15b552dd8bfa4633978d500bb68ab,0.0005679793795824%,ASTR OFT Holders,
0x36fbe2859a30bebb0294b053e503f7afc1dfef52,0.0005593736314070%,ASTR OFT Holders,
0x65d08c7475070929188cc46c4c6a818e14d5701e,0.0005507678832315%,ASTR OFT Holders,
0xaec0ca82204e8927638af11e9a5be094e64a6901,0.0005495638349522%,ASTR OFT Holders,
0x7b83ef52b903d5ebb8776072eeeab23b66658f77,0.0005421621350560%,ASTR OFT Holders,
0xfe7e2202fdc75bc2562d0f00ab0f27b13f09fb71,0.0005421621350560%,ASTR OFT Holders,
0xfd5be9a052b60d642a9968302be63c489f24b0c1,0.0005409534745066%,ASTR OFT Holders,
0x7a759bba365ee650c7e66db0da5dcc52e8000597,0.0005382895483770%,ASTR OFT Holders,
0x6fcb89f0d63241c30d8987fc5f9acbedb0dc00a7,0.0005358088910019%,ASTR OFT Holders,
0x8114c31cd93141dd6229553f622b85b06624957e,0.0005278551615884%,ASTR OFT Holders,
0xed110fe826a68af174d86fd37279339f6d439b5d,0.0005249506387050%,ASTR OFT Holders,
0xd2e88d060693442dbca1286ebe64aaa2d43ded72,0.0005187111137725%,ASTR OFT Holders,
0x26d5091bf8353f4553dff080d6687d434dfb6408,0.0005163448905295%,ASTR OFT Holders,
0x400feaa2119f40c540920451b3992027df0b7e29,0.0005163448905295%,ASTR OFT Holders,
0xfe3fd57379b65ba4b0fe1e481e07e969153acae1,0.0005163448905295%,ASTR OFT Holders,
0xdfe907c5ee83e73327ea55e50a5b6e89411b16d6,0.0005111195570645%,ASTR OFT Holders,
0x7c760de679f7b433429254cfd96a81508a82d421,0.0005071050936563%,ASTR OFT Holders,
0x4b811f414f319489b0e2c330f81c889b8cd9ba76,0.0004991333941785%,ASTR OFT Holders,
0x4b116a04bf4491b5c7958e9d0388802e224f9efa,0.0004968259761734%,ASTR OFT Holders,
0x7bc22dea839a3c6e68ead0f2d3441918c6d96954,0.0004819218978275%,ASTR OFT Holders,
0x4b7bcb3d16d9b3d04813d7814476eae5ac4ac5e8,0.0004733161496520%,ASTR OFT Holders,
0x8cad68a59f5871ccceef22faa071f9d68a827633,0.0004733161496520%,ASTR OFT Holders,
0x5b6a4084d53dbf719f3fb31dac844e6a1b1169dd,0.0004690132755643%,ASTR OFT Holders,
0x03a6d45e15cdfea356423eed8cc1322ce85efa34,0.0004651325116975%,ASTR OFT Holders,
0xf0803b4cf6359d64913ec6a0b8227640afe69b2a,0.0004647104014765%,ASTR OFT Holders,
