Address,Allocation % ,Type ,SumCheck 
0x7ea8B9138bFf17361E9b2126e181AfEe16e98b98,0.219291825622501000%,staker,
0xba6E889002C783C9E9aF53B86E623955f5Cc04bF,0.215532172617593000%,staker,
0xceF94E6a42fA2D65f4fc0934F961c89e2e6f2D08,0.208921347208674000%,staker,
0x205e49cffda6fED0A57AEEA1B8998A5bDf98aDA6,0.203889182628820000%,staker,
0x82737f7c0316F9441F7f86636c33231Dc03Aa5ba,0.202254716132742000%,staker,
0xa038291c26c7E432df3E438193F4E97AdD7b2781,0.198485514370368000%,staker,
0xb06B6edB44b667E97AE818C72A8a2F892334b609,0.194092710674387000%,staker,
0x8E1254D071EBbb4d852c22073f4e0B284187ABe1,0.192282076914231000%,staker,
0x031e38F8b6b1076a851AAb4bDe91cF9cfc91eF62,0.188832467355245000%,staker,
0xE32f0974f05E281bf101823cB57bf8D9BFcb01Ce,0.188474850513702000%,staker,
0x90868B67782169e448eEDAAC2a750E51DAC09A66,0.185536006701690000%,staker,
0x683D8c97965a7CCD29F02DC65cE5C96ef2B0d248,0.185296904208724000%,staker,
0xd637d3d6E73429C298cBe4D86B786e61ddFB672a,0.182400716369052000%,staker,
0x37e12F753d12eC0750403Ac446a6793825eaaED0,0.182054938041353000%,staker,
0x07DB7Cb2a07b95d79AE37481C76589218BC740ea,0.180664784287149000%,staker,
0xE614AEB76C490944e9aa6c81b74e41AAe5e24F78,0.180057357085483000%,staker,
0xc2d75AaC47534F16696cFD0d3D321943Dc0b7EdA,0.178466936808101000%,staker,
0xC96036f77d74FC2db8DA2DaCDBC48A4d30c9Aa55,0.176860032179577000%,staker,
0xbEA91Ba2bcB84Aa20712C383aa03a76c9cB3C2a4,0.172956824694361000%,staker,
0x39d44E11eAb01c235383be11e37632c56a57Eed3,0.169184222919553000%,staker,
0xfaD4191108fd3eB32281555ed3BFc2b7EcC1144c,0.168388957022958000%,staker,
0xba20D829d4d2c3Fb8CC65Fc2517b0210bb378a42,0.167585232148990000%,staker,
0xed6e07AF71c3dF3F1e577d3fE536C766bb78cf4d,0.167507028226277000%,staker,
0xf9c75812A5FDa98bDEBC6b3Fffb9402a4e30B412,0.167407590490696000%,staker,
0x0c7BE72E04d4aFa9D848c7346f6984Ed3f41e4e0,0.165495789839952000%,staker,
0xfe9d2e500453Bf72D76c4d84dAca910Ea8f8afbF,0.165072697305715000%,staker,
0x9EF92ca1f9cb08d5571CF2483a8102143b5A4d23,0.162881676675044000%,staker,
0x772AB52cc7080E0ccA6f48b8C1DB3f4347B2E7B7,0.160918122967553000%,staker,
0x8a0C8220C205ed2322aBef4142395A012e66BDc6,0.159406896255577000%,staker,
0x3fc326E522a0376c06beC6f411f6343b1C462Ea9,0.158989372044126000%,staker,
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,0.157720494673820000%,staker,
0x3BFBdf4A113f267C5001d86cfB1a60C2Ebbf425E,0.155856683113961000%,staker,
0x041d7710eb5B759cA179FcbF8A5F9b534E6a4C21,0.155134738348146000%,staker,
0x97c22e49fAe419B36d6C965e48478Ff7eB9DE054,0.155070963163074000%,staker,
0xF224ADa45E2DB91fAbdB7b9A1E78eaF7D5132889,0.154978620142806000%,staker,
0x24273e441EBCaECae5d83D3Fe41be91b92c5199C,0.153879944966073000%,staker,
0xa47F30b38a815Ab4e3b5675897971188e0cb80D8,0.153670950584020000%,staker,
0x790f54AE142A33AB64E6f558476EB1a6CAab30DD,0.152834096238789000%,staker,
0x5B0FC98337628320214C7cFC08969096959f83B3,0.152786394527780000%,staker,
0x0E53828C0100C655052d369c1Db713B6fcddc272,0.152129826581113000%,staker,
0x33E5Ad0dE9171127c4dD4fd7BdE63DFfbfed1481,0.150700011433782000%,staker,
0x9ddeA6c0BfA53bdF244aDE7Ba5Ed7e227F6e58B4,0.149989877998501000%,staker,
0xf66520bEB3A56D741F19073fB6186d3d5770fb7A,0.149852337024455000%,staker,
0x4F1967070b2F0c5c6b181ea332aD8Ea1971cEDe7,0.148068919575549000%,staker,
0x35A0012FbfF749eC357c2Ae84f88AB1611DAe164,0.147909491260694000%,staker,
0x4513EA163330655C6A44C3DCCb0355089D2dF6D6,0.147218137029454000%,staker,
0x1b21D3fbebf399a244627Ef05e5cBCd684e7f7EB,0.145403933290681000%,staker,
0xA14368e4c393d7f1c86d08Ea886584f4CD91060b,0.144747221247773000%,staker,
