Addresses ,Allocation % ,Type,Sum
0x5526f52098d3dd66b4f3fa160f37d169998d690f,0.191082802547771%,OFT Bridge Users,
0xae9afdd5895a8e56346a8b4322821b862f70ee4a,0.191082802547771%,OFT Bridge Users,
0xa9ca155405357678e2e2c28894659f75a6b6c155,0.191082802547771%,OFT Bridge Users,
0x82e078161eb56da47d8e00bc120e2e9980bafbf4,0.191082802547771%,OFT Bridge Users,
0x4db92447c79fccba0d5024fa49f69faad67a4e99,0.191082802547771%,OFT Bridge Users,
0x557dff80b5793df9ab93ad502cd84a774ae067e3,0.191082802547771%,OFT Bridge Users,
0xaaa05e7f7815d5d5341ad4071381533d1e1ce02d,0.191082802547771%,OFT Bridge Users,
0xaaa4fed47a2e24010cbf4db0db02633e3664afea,0.191082802547771%,OFT Bridge Users,
0x30cc35b20a33542dbe493be4cb559501708ef4ea,0.191082802547771%,OFT Bridge Users,
0xa5819ee0493f6deb45b909d75a9dcf87cb8b7812,0.191082802547771%,OFT Bridge Users,
0x6b0d315fb1d307a24a2ab5364d78aebd3a4c4f1d,0.191082802547771%,OFT Bridge Users,
0xb1e2dabfdd6431811e889255947bca184d1a44e0,0.191082802547771%,OFT Bridge Users,
0xe844f98d65af0c2de89144ba2930bee7ea9c7d20,0.191082802547771%,OFT Bridge Users,
0xbb8601196eecb8c52f343b82a1a60b65d9638bd3,0.191082802547771%,OFT Bridge Users,
0x196b6b1ca1cdef30a024e041e0aecee15974791f,0.191082802547771%,OFT Bridge Users,
0xb81154f7bc7b478554b70f5b587cf6a8b16da82e,0.191082802547771%,OFT Bridge Users,
0x562e2edb89bc920531ce43cb16aae9f8a599733a,0.191082802547771%,OFT Bridge Users,
0x56ccd457679218ecceaee549e4f92c2ce5376f5f,0.191082802547771%,OFT Bridge Users,
0xe5b3e55a2102450a2bc271fbd729a2ebb9ab810f,0.191082802547771%,OFT Bridge Users,
0xbe593259fbd665b35e39b22c25bef56dcb770831,0.191082802547771%,OFT Bridge Users,
0xd17afc431dd734993dfa5b2a1ecfea81ac6e7b55,0.191082802547771%,OFT Bridge Users,
0xa0954ae7794fc61bb5e1a672aa5a8e5a2abd627e,0.191082802547771%,OFT Bridge Users,
0x65aad05e9039bec2e1da4025fc7dcaa0f06d2cc7,0.191082802547771%,OFT Bridge Users,
0x2f7e55e29b350338c5e13f14a9cdd7f3f6391a81,0.191082802547771%,OFT Bridge Users,
0x148a00d9b3c4ee578298f19fa189178022b0f0a9,0.191082802547771%,OFT Bridge Users,
0x7efa1a0f646c0a077e5444808612c5f9ba7017ed,0.191082802547771%,OFT Bridge Users,
0xc47ac6f6b389fda85c7cd926bec28c16afe0394d,0.191082802547771%,OFT Bridge Users,
0xc595471cfea3f2886334a4d970447c508ff13142,0.191082802547771%,OFT Bridge Users,
0x4339254dc8c26fb009a807ea39f8b8d11ddc1f46,0.191082802547771%,OFT Bridge Users,
0x42aef8ae0c5cb211d3942a3241b22f3ebce619c9,0.191082802547771%,OFT Bridge Users,
0x6709a716af977922f64dea6760f6fd978280707e,0.191082802547771%,OFT Bridge Users,
0xd5608afea1f9e30d731a7964b5a0bb0a2e89a7ef,0.191082802547771%,OFT Bridge Users,
0x0d497f2b8cf7c33ec61a72af29e098e7f5c93bd1,0.191082802547771%,OFT Bridge Users,
0xebb4adcad9772accd27815782a6ab2afe3938319,0.191082802547771%,OFT Bridge Users,
0x307719096253f85e61adf7a192e21cc4a99fac22,0.191082802547771%,OFT Bridge Users,
0xf7a9418fb73a45449128a78b721baae8b3c6d4c9,0.191082802547771%,OFT Bridge Users,
0x802f0cf58f747c5d1eb9102ba8c75b3c7ac25643,0.191082802547771%,OFT Bridge Users,
0x0b455745a99947ebf8d3623edd066cf2d3a1eb79,0.191082802547771%,OFT Bridge Users,
0x9218bf1e3731b79204d056c0f35a87c228f0d2ed,0.191082802547771%,OFT Bridge Users,
0x2d7829355915115535a3ae011f29e095ff00fbb5,0.191082802547771%,OFT Bridge Users,
0xf8392234d2e429e178ba1a3e2543129305c3be0e,0.191082802547771%,OFT Bridge Users,
0xb60097c8392e2484c12ec2f0f88ffc5cb6e1609f,0.191082802547771%,OFT Bridge Users,
0x2118c5d86c01190d7da5a40b654def60b09ab623,0.191082802547771%,OFT Bridge Users,
0xe5196d72d9d00990882ccc47c967e6589e91287d,0.191082802547771%,OFT Bridge Users,
0x87597550dce9cf8312128803d12872c7b7a585c8,0.191082802547771%,OFT Bridge Users,
0x96be74f2e57a400a88314dfee04b8e96afd22ab4,0.191082802547771%,OFT Bridge Users,
0xdc74acd869fbeab743362e56272d057d5ac3be62,0.191082802547771%,OFT Bridge Users,
0xf7a00ed8c836fb08e51871709da053d6391bec53,0.191082802547771%,OFT Bridge Users,
0x5378917a3ec12b87700f2f381e75b90636971281,0.191082802547771%,OFT Bridge Users,
0xe05e6b9cc406799b516a7499c50edc9c18b31726,0.191082802547771%,OFT Bridge Users,
0x76eea432ba24a46ca53c2b8b1f7e0995f598ccf2,0.191082802547771%,OFT Bridge Users,
0xf7884a94f8c2bc38f90e8397beacf48e91844f7d,0.191082802547771%,OFT Bridge Users,
0xb18e2938f8b8e6b5f9135b934a426892e2a6ccc8,0.191082802547771%,OFT Bridge Users,
0xce4a9ca04cc425af15035a09403ed4103df35e7d,0.191082802547771%,OFT Bridge Users,
0xae83751fd1defae6385a90ab93230b54d1ee006e,0.191082802547771%,OFT Bridge Users,
0xc06bd07ec04e1a4cf6b6e57294822b9db1294401,0.191082802547771%,OFT Bridge Users,
0xd78f67894a445cb7aa9b86a06a58da4db6d05243,0.191082802547771%,OFT Bridge Users,
0x70e41e758f3c8d223da18228a55d91f445cb7ccc,0.191082802547771%,OFT Bridge Users,
0xe18c8721c933ce8ed9a0b0bfc8120e55f522c9ee,0.191082802547771%,OFT Bridge Users,
0x09004e2b0433bc6782e4fba2a5b2cb4adbe37650,0.191082802547771%,OFT Bridge Users,
0xfd72e50d4a40802feb89c26fc3ae0f96e09bf041,0.191082802547771%,OFT Bridge Users,
0xa92798a947cba98dcf6f72db909dd115a728448a,0.191082802547771%,OFT Bridge Users,
0x46d3f1e020d29b293c9c11ddb91dd9bccec18d82,0.191082802547771%,OFT Bridge Users,
0x8a624aed2dacbd30f1954e70c6a346541cdc2caf,0.191082802547771%,OFT Bridge Users,
0x81e3cf7bd785f93358ebb899b49ca175e21d9396,0.191082802547771%,OFT Bridge Users,
0x68f3cf0363f7e8793ad01acf2a4f5867164b4375,0.191082802547771%,OFT Bridge Users,
0x6434195512228feeb36807e59ce4fd2bcca96094,0.191082802547771%,OFT Bridge Users,
0xfc72d6af3400c65d4c23dd2a7a39a11b45fd0c80,0.191082802547771%,OFT Bridge Users,
0xf2edfff7120f8fc7f6adc1152dbf78610c4ca4ec,0.191082802547771%,OFT Bridge Users,
0xad2438b005de92429256dd2a5403a0ba243714f8,0.191082802547771%,OFT Bridge Users,
0xe996fb3adc0d86dea1d725b472431168332af41d,0.191082802547771%,OFT Bridge Users,
0x8010e7ca3af92b5333e4ada84de7150aa33b7e54,0.191082802547771%,OFT Bridge Users,
0x501e65a294c3063829ac9e9180fecbe2aa164f54,0.191082802547771%,OFT Bridge Users,
0x780ee57c9bea2d80c3b33d565497dd8acfef797a,0.191082802547771%,OFT Bridge Users,
0xa521d8ba6d05386516df90fa11470fe2361630aa,0.191082802547771%,OFT Bridge Users,
0xefe9db238d33de1e7aa377b2cde3acf98e233a1e,0.191082802547771%,OFT Bridge Users,
0x91d763519adea4d6376102381e32415a73d80c7c,0.191082802547771%,OFT Bridge Users,
0x8601515d0e24e24cfda320ca50bd372ed5da817c,0.191082802547771%,OFT Bridge Users,
0x5b760abc271419c42757ca7ce8f19b79bc296e31,0.191082802547771%,OFT Bridge Users,
0x6078c75d989e7612013c3369cdf5cfb5f66bf82c,0.191082802547771%,OFT Bridge Users,
