User Address,RFP Allocation,User Type
0x385ad4a6504c244fb7a51137509cfa063238e8bd,0.069178563502239400%,General Depositor/Borrower/Protocol User
0x8b9869a87d5d5128eb742fbaed44441e90327e10,0.064390270831566900%,General Depositor/Borrower/Protocol User
0x313e783928a7e63139e50fe426f24acde21bfc9e,0.096207026634278400%,General Depositor/Borrower/Protocol User
0x568d6af0b71cc3d0c5154189051c2a3f6bf018f3,0.065743252973955100%,General Depositor/Borrower/Protocol User
0x9c7a4beffaae224abf4570d938547cfc4d851ee1,0.146769572244634000%,General Depositor/Borrower/Protocol User
0xac7e04b9b3757cd94eaeec4abaa5b754ec2c0f88,0.120742620454902000%,General Depositor/Borrower/Protocol User
0x17ff24bdf93c5d37f2ad542f67297929e11c6a94,0.061080232337097100%,General Depositor/Borrower/Protocol User
0xc60861680f748fb8164e392dff70ece0577b4389,0.057737125831969100%,General Depositor/Borrower/Protocol User
0xc7777c1a0cf7e22c51b44f7ced65cf2a6b06dc5c,0.101448250553128000%,General Depositor/Borrower/Protocol User
0x553222b267bc978aca3c28493aef72d924b264bd,0.063647738578935800%,General Depositor/Borrower/Protocol User
0xcdba7ddbbc4afc515901c1b8832d7edf5efbd22a,0.059813417845535900%,General Depositor/Borrower/Protocol User
0xc8160b24922664d9b3cf7f0acbc149dc33917d15,0.061544567454245100%,General Depositor/Borrower/Protocol User
0xc4a70149330858cd0f085e4cd81c10745c9130b1,0.123791859343083000%,General Depositor/Borrower/Protocol User
0x907d8e9b66b06fc96fcd58caacb113cbdd586b43,0.067882615185608800%,General Depositor/Borrower/Protocol User
0xf60fd90fc72e1eb4d2054a24f5dcf7658f166eda,0.104358091174381000%,General Depositor/Borrower/Protocol User
0xc993c9f32334bc334e02c4e145a33bc578c5f470,0.048919789757294000%,General Depositor/Borrower/Protocol User
0xe3884a72546f65944df71d7199c038270519511b,0.192846389291206000%,General Depositor/Borrower/Protocol User
