Address,Allocation,Type,Sum
0x098cf33e0bb24f53a99e31d7837244839008eb99,0.1499307382%,User,
0x7c55a970a50d58f2b0efa03aa1f6f582a7c6cf0f,0.1486135589%,User,
0xea06e1b4259730724885a39ce3ca670efb020e26,0.1441348366%,User,
0x71e47a4429d35827e0312aa13162197c23287546,0.1429529311%,User,
0xa52fd396891e7a74b641a2cb1a6999fcf56b077e,0.1413951044%,User,
0x6532c00c3a573c8cce0a55870faa9d95015f9317,0.1380515259%,User,
0x01b894622c7aa890d758c8a0e8156480f0fa5f6c,0.1314298168%,User,
0x5687f1a317c62fe52546ce993bcf9cbdc8a36be2,0.1309995867%,User,
0xe2a4de267cdd4ff5ed9ba13552f5c624b12db9b2,0.1298168725%,User,
0xb70d29decca758bb72cd2967a989782f3acad3e6,0.1277395588%,User,
0x49de76e8e7c1b6a974d6b766b9b5f5d199566e94,0.1271204766%,User,
0x39d04336788300784d10894e84642bcb07dc6434,0.1251793437%,User,
0x0e119685190ca54b5bbf5e3504f447c5e40d2410,0.1235105062%,User,
0xb95a4779ccedc53010ef0df8bf8ed6aeb0e8c2b2,0.1203534599%,User,
0x03e56b08a4d0267685695536bc2944888dd98074,0.1202570602%,User,
0x4daa44cf5ebbad57c45c79abe805d30ddb74f644,0.1156576989%,User,
0x6724f3fbb16f542401bfc42c464ce91b6c31001e,0.1144304410%,User,
0x239c46009f94d9793d0ea9dd957c62ff043106ba,0.1142886050%,User,
0x09e3205a22571b2c24af82558f9b255913db2c22,0.1126402064%,User,
0x633e7f4a8047d958f95f9043745d45c6a1ab482e,0.1121029286%,User,
0x781814773609d820ab3fff2f21624d93e9b4784a,0.1091497491%,User,
0xa669070d106e96cc2390523e9745b425a1b3a0e0,0.1037822451%,User,
0x01a0f8f364c2fec07cfcdebd2980da3f950d0410,0.1032915914%,User,
0x4c9f7207be28278b9dca129f2e211acfff48fb01,0.1016932345%,User,
0xdcb7943f8454a5742b2b881b6ecfc8c7d198f631,0.1008382139%,User,
0x58e6c7ab55aa9012eacca16d1ed4c15795669e1c,0.1005777455%,User,
