Address,Allocation,Type
0x54207Bdd0b6b1DAA5Bd98c0c8c2EBDEf65f63a3B,0.18879165%,product holder
0x4728Ab363bb9EdBBCf70AB53fb948437315810Cc,0.18841324%,product holder
0x5EC6abfF9BB4c673f63D077a962A29945f744857,0.18617671%,product holder
0xeaB6bFe0EB15d523b80d9BFf2700871d0106d9C1,0.18349645%,product holder
0x6aE843C002133B7C643cBde0cEd26145aFa4555E,0.18265236%,product holder
0xa8D092b8b1A07EF7b8b409cEd7CFB13C0E46E439,0.18199348%,product holder
0xF2eCb9985C57eC5366BC73d46E31D3644363eaf1,0.17906708%,product holder
0x247814e494893fA237AaD84161cd79f2e6aA725d,0.17740389%,product holder
0xde5f99E701408381d8Dd4fc4b37e25978e3aE2B7,0.17519722%,product holder
0xef325f8f00E86E2f557466520367DbF867cEF738,0.17161869%,product holder
0xb6cf63b8af00F20dCDE39158CeB74DdA6511fc6d,0.17057510%,product holder
0x39E1F85fb0555a4e899C280748Ec52e51Abc4540,0.16884675%,product holder
0x547110cc9a9F1C1AfBB548b81133A66952A6134b,0.16814012%,product holder
0xfDa3F282B65228C46227bFe2809A9539BF7FdF1B,0.16761737%,product holder
0xD7B56747935111c90440d7327f261C63e7b9f9C3,0.16582197%,product holder
0x1eBbcF9a58Df2962cCcDC3FF69E9f876100defeD,0.16245028%,product holder
0x57E023c15520739f2608Db8CA6F8b8A2FbBE2d56,0.16143302%,product holder
0xDB611d682cb1ad72fcBACd944a8a6e2606a6d158,0.15913509%,product holder
0xb08856994DD338B0DB1253DCAB0e5F56e27f3985,0.15854561%,product holder
0xfF4AA40861B7a2602ff5FCadc5e5808Cd82fffDb,0.15530480%,product holder
0xfB188993E7cAFA83aB69Dbb9CA8B7e1235CBf3f0,0.15449914%,product holder
0x142A224F2dA11E2D63e4E2a52C1891E570b93d99,0.15020531%,product holder
0x438bbff80252C9C959797d0180a5c868e1a86c91,0.14888018%,product holder
0xAee0CAE029206C5d79F8ce85C5167cefEECD9639,0.14668139%,product holder
0xcd812016b15e1937e281B7B7b1F1654e54CC0818,0.14001533%,product holder
0x93d2f4f3a0445AA808c99cbD6bA05236a895379f,0.13981875%,product holder
0x860E468Ca7716Dfa0dEB4FC84459A74b3974E5C5,0.13951915%,product holder
0x1DA8469b048592baA0AA4fA28842a9E63bCfdC8c,0.13941261%,product holder
0x1DA12EaE6bA4F90Ed1f0e29d112A825a172D442a,0.13849979%,product holder
0x6F8632DBCFd4E7AC624fbFC8e8B5D6864b03022B,0.13636230%,product holder
0xdD84Ce1aDcb3A4908Db61A1dFA3353C3974c5a2B,0.13575930%,product holder
0xBB0fF467bE94C2D760F20e54cef3D4197B6538cd,0.13552707%,product holder
0xA904A518dFc3817f874CE8eD6eb457CB7a759e19,0.13551669%,product holder
0xb775142841F4b84b78a341Bf0EB721a079B4DC87,0.13416345%,product holder
0x14975679e5f87c25fa2c54958e735a79B5B93043,0.13238097%,product holder
0x3ADbaB7cD849ABAd03E3d27FeB514aDCab6cD5e3,0.12944582%,product holder
0xF09C63A2B47d7b383ECc517a295727312384eaED,0.12808301%,product holder
0xF3300291704551BfD0ABB467bc9DDe8Db535c360,0.12609641%,product holder
0x47669d1cD7091Fe1DAFE741fE3528fDf559B8A67,0.12255687%,product holder
0x4dCbB1fE5983ad5b44DC661273a4f11CA812f8B8,0.12231942%,product holder
0x3af4A49C8E2FcaF33Fd3389543B80D320FCC9091,0.12052513%,product holder
0xee2826453A4Fd5AfeB7ceffeEF3fFA2320081268,0.12031902%,product holder
0x8F68F44A9b808Bbe8cF39F421932Cc94C379e24c,0.11943099%,product holder
0xd832DB8f55334a0D2a91B3181e8E0bC2b552e898,0.11554432%,product holder
0x69e9bb3a869B74660E8A217380D252fBEE82b1D6,0.11536278%,product holder
0xec6E3f5e4eC22C07325d2293370325B855735DBa,0.11393489%,product holder
0xA39e490058ab3cf242051d89Dfabc3d4D0463802,0.11137102%,product holder
0xd27f2Af5B973A8E545dDd6AFF5BB77160F746D8F,0.11136253%,product holder
0x2503c8416F8c541F1a6c8412DB43860cBfD24829,0.11130480%,product holder
0x64bd6566D43E6B6BE41cc467b1b17615e352ae24,0.11094521%,product holder
0xE0019D15f39ec9E8007ACd7Ca0776dD90eB3d333,0.11049127%,product holder
0x1cAcf9f35a14C758f72c84cc3528fCC3387bb756,0.11035417%,product holder
0xCA701aB5cC5a8ac0CDaC44DbC23b313d6320DD46,0.10950928%,product holder
0x40C44B91E3Fd45Cdbd860D81E123c73871a9Cc3D,0.10941052%,product holder
0x5C8b9948c8Cd1fDBEDDF41f4D3cC629b64C8b9cE,0.10905256%,product holder
0x1B72Bac3772050FDCaF468CcE7e20deb3cB02d89,0.10513538%,product holder
0xA28D8D7083DcF1988aee50BDBf15F47532759bc2,0.10387616%,product holder
0x7552Ab18F8DE66a51801D040B98aFb0dB5E38141,0.10283006%,product holder
0x68BB33435961B11Bfbdf967876752134aA162C19,0.10159837%,product holder
0xF7A819DEBA0d69C4f3567cb9fAc04B05Ec3A6516,0.10158670%,product holder
0x189c42694B3C306e420713630B283C4861b19b78,0.10145681%,product holder
0xBCbeAc56eeF250E8a4859be46c6cBFd93aAe5d2F,0.10096121%,product holder
0xCDd9e0E5A880437F31D72c7d0a0e364228A1B48A,0.10091643%,product holder
0x2cE07a3CE9Fb07C28E8d0a175aA3918cc1b1A07b,0.10073448%,product holder
0x2c30a3a1b2cC998A95Ab60CEf376fcc7d8F0bD9d,0.09684313%,product holder
0x19D434F2a935B32B1247A91A9183bA8D6e7A375B,0.09567975%,product holder
0x3998F134d6aaa2b6a5f723806D00fD2bBBBCE891,0.09437945%,product holder
0xdb4f969Eb7904A6ddf5528AE8d0E85F857991CFd,0.09300927%,product holder
0x3dd3F1e1b0dbe842aEF9182bDA711223396F5D64,0.09275461%,product holder
0x8B056Ab674f11c188632e3F3a46DdB2674FaA37f,0.09137909%,product holder
0x6C9A8E12106AecE721c7E3cc7770960fc86b37F9,0.09092503%,product holder
0xc6dD9976066F3364b4D6A72cD4F1fA0468327Aa7,0.09077444%,product holder
0xC4A78662e4a6dA906401aca77D50598f344f0C6f,0.08898087%,product holder
0xe1A1Ddbad9324366aEA8114Dbb60c9236cd6b336,0.08890953%,product holder
0xA1d805e16D178Fc28da2629092b894532439713B,0.08811934%,product holder
0x543d5c684D2BA62eC5132142a24205A0ac09Bc84,0.08698109%,product holder
0x37d31BE0256F89cA672A7F9bd937FdD98AE79c83,0.08680319%,product holder
0x13202865c1bbD5fD165f6Af8f46Ccc13a2b227b5,0.08657316%,product holder
0xE285461d25d0647F51Dfd158F1C88427D2aFE597,0.08551130%,product holder
0x68634371b197ecC675D0c99462d53C83aff6D15B,0.08500847%,product holder
0x86b2Cad8DDFc16a90cA6DeC4aDB438F4a4593C5e,0.08425830%,product holder
0x3Bec5a2012AD1A6E7a6868B023944e49087E9356,0.08336546%,product holder
0x31201cB049878deca168E621E83313425f372314,0.08312790%,product holder
0x22963f931baA98D5CE2A43AB7681a638a693F560,0.08301506%,product holder
0xe912caC1a6641004a8803687Ee7699227Fdb0550,0.08107646%,product holder
0x3696C1Fe642c605Fb92E38a28822C080699F1db9,0.08093002%,product holder
0xFa4FC4ec2F81A4897743C5b4f45907c02ce06199,0.08092639%,product holder
0xA910Ea01D5cD2AfE8d09C326D714384C1D6A9Ed4,0.08074329%,product holder
0x042DC5e8D63A155860788c6F8cDDe53a91d78C1F,0.08067826%,product holder
0xAbEdcf81E313D2E76905154275e017072d29C92e,0.08013491%,product holder
0x88889778402dcf6cF363bB9Ac47f7A2D8E77A2AF,0.08010387%,product holder
0xd9144f78e0cF813d835Da362F08C19554668D9fe,0.07930534%,product holder
0x796Ee28CE42BF7bd43A09aCd43FAd0aACD7C3b29,0.07926887%,product holder
0x8f4EA9ad88DB773e4a086884EBBf0Cf813915D38,0.07836052%,product holder
0xF9CE24AFbB1FE432478fFAd1014ae3bC30De2D82,0.07730824%,product holder
0x6b969B780dD8e48B679bA152A459D28845404cf4,0.07686761%,product holder
0x4A95B307c104000e20724b62dADd29a07AC47C15,0.07611196%,product holder
0x4aD61Ae047e4849beE9d9520E52a5f6D6C629c93,0.07505274%,product holder
0x07eA7aa7A752C8076a04346815ac80887422a191,0.07408828%,product holder
0x460cDc75952b8F09A5bE0666e76AC3aF8836019f,0.07284678%,product holder
0x2d041ce95347453e2b11D4E2473b966e2Dcb8D60,0.07252157%,product holder
0xFC329a965C10E496d8D6D19096D7e72f06601bcF,0.07236877%,product holder
0xFab10aa58BF87A3499Bd5B603AF8C442FC48CbAC,0.07232071%,product holder
0x7C0Ced8C901c59C0059FE4Aa4f6C2c8040437Cc7,0.07230319%,product holder
0xc7A2ec652d8273CAe26a4bEc91cfE30E1c83Ae7c,0.07197917%,product holder
0x0C944eF7ba8f75DA6ae4499C5D1754FBc8bd5133,0.07169894%,product holder
0x264dAD6fB554DA55f8aE08687A91bED5e1C768fF,0.07151281%,product holder
0x6194B725e9D6c713eD3206D4F6814862e7EbFB5f,0.07111210%,product holder
0x0c7BE72E04d4aFa9D848c7346f6984Ed3f41e4e0,0.06949154%,product holder
0xf3aFc2383a0B45ae73D77B49dF7F2184B1Ad4B90,0.06939464%,product holder
0x9CBeDEA359aB1f74585A9e71E556A78C9DCBC640,0.06866761%,product holder
0x21C31e2E5F870e081A8C8C4432533804445a39D8,0.06850942%,product holder
0x5D0E2f8fcd9FDcf53f15a988Eea53B51E50A59DF,0.06792485%,product holder
0x6eB637fA9d1D88C19415e0512e5D1677B22Deb2C,0.06790590%,product holder
0x84F4CcC36fC9d5FB1947949aE5572A33ad738667,0.06781758%,product holder
0x52F79648D45fC950bF8e906a8ed2864A89B3Cd74,0.06741231%,product holder
0x393DA378Ac393D5de0714Ee11aa5Fe44c425dd6b,0.06705321%,product holder
0x6732D7ce8Be2a91B4E59C98CC3f78Aa3D47A4026,0.06697119%,product holder
0xB729dBF1b0DcE96ed77453E5F2c6b49525ae7929,0.06647282%,product holder
0xE9B2fC5f89ca0F6f88122feb3F88F5308B86c7a0,0.06577106%,product holder
0xDbA8f67ab9831D1F9144c7FFA245F6b3522E2bbd,0.06562289%,product holder
0x008eEB180F9Fb7190b8f2C0Ed1bEEf92Fb2Ddf32,0.06501121%,product holder
0x79E68c55174bDf57E81C28775382FbaefbBbdbd3,0.06467889%,product holder
0xF60360c044066aBBe42E45c929F65cfadb453D2A,0.06467837%,product holder
0xb26ED43a8b7b933E6ac5474208F6584AD242c7Ba,0.06464902%,product holder
0x55cD0450c385113163111979E8f1eDeA08363b0F,0.06458357%,product holder
0xC3b1F7aB9FaBD729CDF9E90ea54eC447F9464269,0.06454533%,product holder
0xAFbB30322D80B572a7fF5AEe89896d555732051D,0.06366294%,product holder
0x2447AdA2414F0274621727BfFa7DC7975Fd7944e,0.06345797%,product holder
0x54426307974B659b48E70B1FAA44f17Aa0E3c4Cf,0.06238441%,product holder
0xc574e9B7D05EFdFa6d0D1fba61bCD136CDEfb1d3,0.06227241%,product holder
0x8ab83D869f2Bc250b781D26F6584fd5c562FdD9D,0.06164657%,product holder
0x80f70F6B179cD61D9a9339c9Bfd1Eef416de2f8a,0.06141928%,product holder
0xFaa5A2A8e55CaE2d99c2aD099EABBA6c48843C33,0.06128139%,product holder
0xB283c17eE9B4C6D902A3e3A112015FaaE296Fb19,0.06105035%,product holder
0x78bCcd5d99C37c74E5b820a3a1627aaEE7871567,0.05958729%,product holder
0x93adaa5757cb116cbE445f41E65108425D5b102E,0.05949980%,product holder
0x8FAE52AdD4DB4175653A8a0A6ee3A6abb154A132,0.05949431%,product holder
0x5Cf2CC2C71231C23cd5C5A008b9339Da33F0FA57,0.05942808%,product holder
0xc98e8CEc6696B42EEA3c6b692bFA89DB8837bBD3,0.05894935%,product holder
0xf5Daac53EF265BF98c252fA16FE1c912ca8438F8,0.05891614%,product holder
0x37A530552cA9df0533D317A292DcC8A582776AA0,0.05875718%,product holder
0x768bD28A351E1f4c51B67dD1EDf53b222357a2f1,0.05829508%,product holder
0xb03d651170cEEE35729afF792d522FD952Cf94C0,0.05823444%,product holder
0xE9bc5f855682aCA47Def4A09fAB4dE5FA8b0FABE,0.05805574%,product holder
0x6cBA077D58fA613B793168c705D1A656bA4f50e3,0.05752433%,product holder
0x6A605A3Dd942BAf95c47c1a5EA024e7e30aBEFE4,0.05744780%,product holder
0x9523e214cC33fD0B3dcbDcd4A243a1FcC6A7bAe7,0.05710988%,product holder
0xbEA31B38C8F95407d1851961A188394D80Ad0717,0.05701576%,product holder
0xd533764a6347955bF7225EAE2f4D79e780ec9A2A,0.05674868%,product holder
0x85795498B766f50D797Ef718a45E8908581fB527,0.05653755%,product holder
0x72C6A4624e1dfFA724E6d00d64CEAE698aF892a0,0.05628708%,product holder
0x554D347580d9B3D70644aE13c035805D36596aaA,0.05599565%,product holder
0xdD5D40EDB2C962D0dFB9056c7D1901F971E971aA,0.05575602%,product holder
0xc7512863Ad0666ceadc3F964914b1Ab8153B7DA1,0.05572187%,product holder
0x6073c46Fe1c5C512e5DCfeb9F543F525fefC873D,0.05566970%,product holder
0x20EADfcaf91BD98674FF8fc341D148E1731576A4,0.05524777%,product holder
0x2A78B1AE65a42046993Bddf8Fa2585B859D5F85f,0.05512389%,product holder
0x496e2E1109B3bb90F0820363db78619F80360766,0.05498349%,product holder
