Addresses ,Allocation % ,Type,Sum
0x0d2D685b3EAA41d9DB61e2D34CD8790E11bc96f4,0.0613968000000000%,Gov Participant,
0x0d41a350d7549De7cE3EA59b5BD678b7d8a268f0,0.0306984000000000%,Gov Participant,
0x0dd711cBD1628DAB4AC92cAbde17BA359A355081,0.0613968000000000%,Gov Participant,
0x0E9B063789909565CEdA1Fba162474405A151E66,0.0613968000000000%,Gov Participant,
0x0EA21ce04a7446ea71E64Ee7EFf2c91edd51Ed71,0.0613968000000000%,Gov Participant,
0x0EAdb62d5Caf12794866c33Ea934e5cc59C2E9cD,0.0306984000000000%,Gov Participant,
0x0f0293C3Ae37df62aBa68a1A3a075711A43Bd79d,0.0306984000000000%,Gov Participant,
0x0F687B1D213AEfB1c174cd8C136cDf563f2A7897,0.0306984000000000%,Gov Participant,
0x0F7d5efF6fC1387e1418333cce6a137d4A8746f2,0.0306984000000000%,Gov Participant,
0x1092a362dddb31D0d9eAa8e23cD1C18aF1656eEc,0.0306984000000000%,Gov Participant,
0x10c53c8c93255D9E504d7e717f66B1A04aAA743e,0.0613968000000000%,Gov Participant,
0x10D172F41Ea8A9e60a97DdAF86D0924aC57629eD,0.0920952000000000%,Gov Participant,
0x1151CE76cCA782A19f751925ef383Ed744533663,0.0306984000000000%,Gov Participant,
0x11B1785D9Ac81480c03210e89F1508c8c115888E,0.0306984000000000%,Gov Participant,
0x11b59508755643719B748fA0F3ce8f00d942546C,0.0920952000000000%,Gov Participant,
0x11b849BeDE7f32983264C7c29Be1a1DF225903C6,0.0306984000000000%,Gov Participant,
0x12176AEABb9be1137d6206339C244cf3726F3E18,0.0306984000000000%,Gov Participant,
0x12aBE44cA3698A5D94D83645C8424052aEc19471,0.0306984000000000%,Gov Participant,
0x12b581d51C95aD0Bb8824e31cE588df0429a5c0c,0.0920952000000000%,Gov Participant,
0x12f3A82ca43b8B25773d81C12fcA34273ee6076d,0.0306984000000000%,Gov Participant,
0x12fF125895033f1341bC4A6A08f1c1451293532B,0.0613968000000000%,Gov Participant,
0x135Cc51c0b07a8f70256e8DF398e6B916b402444,0.0613968000000000%,Gov Participant,
0x13988CEF5721a77e9A873b9c988559ABd698516A,0.0306984000000000%,Gov Participant,
0x13c6b0c3c7F55aEDC95a3dF520f5E02d68B1C293,0.0306984000000000%,Gov Participant,
0x1477bBe945F3AC30675E899d304B632c621006A1,0.0306984000000000%,Gov Participant,
0x14AB9F431B7D25FcAd366EC9511DcE38E229745C,0.0613968000000000%,Gov Participant,
0x14Ff0Bc9417B6796f79768729002A793b51205B8,0.0306984000000000%,Gov Participant,
0x1512A071Af034d2012dF8f742FE2E8f5bf9D63Cc,0.0613968000000000%,Gov Participant,
0x1532Ae55D8Ca89363c22C8a1dBB7685fa4759e69,0.0306984000000000%,Gov Participant,
0x15B494f2232b3A4fdEF8Deb7b04d3b7758D33323,0.0306984000000000%,Gov Participant,
0x15ba9D87aCe05ADF00d4B8fF17B3472d0A4052B0,0.0306984000000000%,Gov Participant,
0x164909b09fBbd53b7346E96CCEd784E4b2E9ee43,0.0613968000000000%,Gov Participant,
0x168451CBa600CeDF0B815b6A917D4030B527c69D,0.0306984000000000%,Gov Participant,
0x168feF2fD1AF371625B2593468620185Cea904FF,0.0306984000000000%,Gov Participant,
0x16b89Fe79fd4fbc3b53EDc58B481EE538BcFFD93,0.0306984000000000%,Gov Participant,
0x16D786614466510C0930642F62F1b391e26E9be1,0.0306984000000000%,Gov Participant,
0x171Fc21389978EA47E3d7226816F425D05f6C2FD,0.0613968000000000%,Gov Participant,
0x183bDB344A07Ee3D27f07AC4799A56E4A2fE5439,0.0613968000000000%,Gov Participant,
0x18ACc7e09e5b4adAF4d51DcE21Bc2ac616EA9440,0.0920952000000000%,Gov Participant,
0x18d21D06aC50EafA6755BA2e9d14E02A44d71a2D,0.0613968000000000%,Gov Participant,
0x18f002Ef3Dc2Aa79f5aB66b719A875b2234A76B6,0.0306984000000000%,Gov Participant,
0x18F08ba90C58fC84767568b5D26b41fCe2aF539B,0.0306984000000000%,Gov Participant,
0x198d3039A559f47082Cd263CD9b703a5e25AEe5d,0.0613968000000000%,Gov Participant,
0x19a37D505078f4a8AAAFbf31b2a240EF4c8C758c,0.0306984000000000%,Gov Participant,
0x19EDd34310766C92C0a45ec9B99EeCEC320c3b28,0.0306984000000000%,Gov Participant,
0x1A0Ad3A59a73CC228eaFdd2B9DCA6b9F94FE793f,0.0306984000000000%,Gov Participant,
0x1beBA25D86FCE53C6bDb028d2bF71ABDC9B6a9ce,0.0920952000000000%,Gov Participant,
0x1c4942dC71c2b3097A3CDb76c58FBbEe00851eCf,0.0306984000000000%,Gov Participant,
0x1c4f553FC8696CdaE3cf041053FBCFDfabfba38A,0.0306984000000000%,Gov Participant,
0x1c85d6Ae1336D0e4E3F165bbfA9641bfA04CeDb1,0.0920952000000000%,Gov Participant,
0x1C9ABFa905E2093C96EC8aCF29F67575aCb3C6E2,0.0613968000000000%,Gov Participant,
0x1Ca65F53853751F0Ef8F29a61979e8e613025Bec,0.0613968000000000%,Gov Participant,
0x1Ce6A6f95c46BA20CeFEdB2dA1aCFA6f95e6bFd8,0.0613968000000000%,Gov Participant,
0x1D6fb3D91b71b69c2047C2d6C62C2949Df34711d,0.0306984000000000%,Gov Participant,
0x1Db383f83B61E5Ab316366c2b1ab12D6D0F25eaA,0.0920952000000000%,Gov Participant,
0x1df2ec275e6d6911d2c9e590902096563CbdfFD6,0.0306984000000000%,Gov Participant,
0x1e13e5B5ACBB0C3F0fDe50fE7661fdF75df8F932,0.0306984000000000%,Gov Participant,
0x1E65Bb3009FaAC2913E0f6A851C908025A68f0A3,0.0613968000000000%,Gov Participant,
0x1Eb601191f801c82cDEa148AB595b82e88c8A4bC,0.0306984000000000%,Gov Participant,
0x1f2DBE460871342486670471b196cd21d7f73118,0.0920952000000000%,Gov Participant,
0x1F32F3c8b28B7B94F0160Da9fb7ba86470BD0F07,0.0613968000000000%,Gov Participant,
0x1F3d3E7f3637862C0656b53386508910a22E489B,0.0306984000000000%,Gov Participant,
0x1F9683afc2c6393bfaE7dcda87a80D5f078e3434,0.0613968000000000%,Gov Participant,
0x20628b67CE5CdDac1CB95198C0fF5271f39fc048,0.0613968000000000%,Gov Participant,
0x20B15A6efDeB89391717AA33E34F9Aaf99c5cB65,0.0306984000000000%,Gov Participant,
0x214F6d4e82AA9abe0B46cEd21cDD3F2Be9202Ec8,0.0306984000000000%,Gov Participant,
0x21C795B221821C335A63C96D171DeDd294C6EfD8,0.0306984000000000%,Gov Participant,
0x21D28914F698c6Ad1E0fC79c4F8359D589a9D8C5,0.0306984000000000%,Gov Participant,
0x21eb99cBcB56e8cc5f778060dc949Bc2d8D7518B,0.0613968000000000%,Gov Participant,
0x221c7c5a448c87F6834818f255d28e5A8124C4A1,0.0306984000000000%,Gov Participant,
0x222F6EdC8Ed1997dfD787Cf2af32a17d17e944EC,0.0306984000000000%,Gov Participant,
0x2263F479426D4571fccD6907b340B44394dD997a,0.0306984000000000%,Gov Participant,
0x22fA3239c4bf43D05CC587ff40ea3bA5841C6709,0.0613968000000000%,Gov Participant,
0x231E6B09A4249C9DDE585d1D664BB95aDC3FC6ae,0.0306984000000000%,Gov Participant,
0x233f9EB18C6132581a776a99c078148D7f5Dd01D,0.0306984000000000%,Gov Participant,
0x238199A3A1Fd126774DFEf541E0FA7EB7FfEBA4E,0.0613968000000000%,Gov Participant,
0x2406dfF3E88EAEC9c916AF9438D84345d8e7EDCF,0.0613968000000000%,Gov Participant,
0x241202A851dBb3cBE68a42Ac2c7f11aB2628a5dA,0.0613968000000000%,Gov Participant,
0x24749AedF18208aB74A8110E07E820286Bb5acf8,0.0613968000000000%,Gov Participant,
0x247D503E53b88cC5e582FaB7aD98d047B581A668,0.0306984000000000%,Gov Participant,
0x248B007f76E7616791B8Fe278C93096DdcF67F25,0.0306984000000000%,Gov Participant,
0x259c9B7a6D6bA8CA30B849719a7Ee4CE843E4DDE,0.0306984000000000%,Gov Participant,
0x25d9A29A6BAe7028b2Ab4b23656d097156b8f375,0.0306984000000000%,Gov Participant,
