Address,Allocation %,Type,Sum
0x4c968f6beecf1906710b08e8b472b8ba6e75f957,10.0%,Developer,100.00%
0x3679aa1e48eb60bc1cabfb5241b0ccab8747520c,0.01512096774194%,Gas LayerZero Reload User
0x08fa25a894070d71e1926a046acfb636b35058c6,0.00324020737327%,Gas LayerZero Reload User
0xa81637e70e218e91876d7a1aad511311f5a68a1a,0.00756048387097%,Gas LayerZero Reload User
0xdd4320fdf0b791720ca184b3fa413c406e1926f0,0.00216013824885%,Gas LayerZero Reload User
0xae144662565fcf0e3aac9c1cb66c7a8fd6f19d42,0.00540034562212%,Gas LayerZero Reload User
0x7002cf2db34f207abba0e9af730c7404fabf016e,0.00540034562212%,Gas LayerZero Reload User
0x2219c41ec4fc7b7c745e6cc1f3e4277f8fd736b1,0.00540034562212%,Gas LayerZero Reload User
0xc9400f25085c23652b4cc86d146f770083170031,0.00756048387097%,Gas LayerZero Reload User
0x53832eed7085461c729591c022248d8c51c1207f,0.00324020737327%,Gas LayerZero Reload User
0xc65b11ce31e8f8b923162cfe728bcbf242068006,0.00108006912442%,Gas LayerZero Reload User
0x96bae1bbeb73eb4eb6190608fce6fdf124ae791e,0.01296082949309%,Gas LayerZero Reload User
0x222e3cb8d92bc316e9dc8b45eb218702bf94f9c1,0.00756048387097%,Gas LayerZero Reload User
0x1f33c0edbe591a2194978069c40bddf8c2059a5e,0.00216013824885%,Gas LayerZero Reload User
0x6cce259fc06018341237893bca40cb02abc2792a,0.0043202764977%,Gas LayerZero Reload User
0x1a0f607cf0eddc248e8734167d53571cc07832d8,0.00216013824885%,Gas LayerZero Reload User
0xbae3bad311a211dbc19c14a5d2995a9a4741abc7,0.01080069124424%,Gas LayerZero Reload User
0xd70833f39948862234d977771b8e6eaea26a881c,0.00216013824885%,Gas LayerZero Reload User
0x8ae38aef41881095c955de0a3f55a110a98667e4,0.00216013824885%,Gas LayerZero Reload User
0x25cf001601ab932dab370d86acd2f2046634aa2f,0.01188076036866%,Gas LayerZero Reload User
0x71e2817679c7011f7527b9425cb3069c95e4ec99,0.01296082949309%,Gas LayerZero Reload User
0x5f8fbf5fbb391ad19c8c1595bf55e217f2f28b0c,0.00972062211982%,Gas LayerZero Reload User
0xf3735fce63a42600c978194b4038d353a25184d9,0.00756048387097%,Gas LayerZero Reload User
0x4f5fc247bdff01fde2806e2a089ac7daabc45691,0.01296082949309%,Gas LayerZero Reload User
0xb38fe837e89b448f2d60e6a24c60da53f736f203,0.00972062211982%,Gas LayerZero Reload User
0x1275bd1e4c556a01575c69c8808fae62a5672a67,0.00540034562212%,Gas LayerZero Reload User
0x0778a8831af0f6ae36f67224c59036cd29d162e2,0.00972062211982%,Gas LayerZero Reload User
0x22a4845dd6002b39bff400d8b34ed9c64578be1b,0.00540034562212%,Gas LayerZero Reload User
0x004fbb1e3ae907fa7feccbcf8e3607c9911eb523,0.00972062211982%,Gas LayerZero Reload User
0x250b69364f019e73c3eb9dd39a2dcfa9f260be06,0.00540034562212%,Gas LayerZero Reload User
0x4b26cb2ea8bb3780bb99f9c3a3c78f2337baa6c6,0.00324020737327%,Gas LayerZero Reload User
