Addresses ,Allocation % ,Type ,Sum
0xa386136f9d200ffd911ead40f61e563e2195781b,0.074074074074074%,Bridge User,
0x1305af68f753a698aa92a09beebd0d343a59dbc8,0.074074074074074%,Bridge User,
0xeb9a39d8628a7b502a615faf61a95443a9a15258,0.074074074074074%,Bridge User,
0x7cdafb5a28c10c206abe5acfdeea0c6aa3c25316,0.074074074074074%,Bridge User,
0x4ebebdca2e94ebbae58ec08dc3ac37e1c669df51,0.074074074074074%,Bridge User,
0x2af679d9770797a94d4ef5861d1bf4ea74a5fa7b,0.074074074074074%,Bridge User,
0x4432f0dad8816c9e149249684bd88d47b87de47b,0.074074074074074%,Bridge User,
0x6b510f8cf06875da3a951fd60e02761a1a60f203,0.074074074074074%,Bridge User,
0xe67163f37af775f05b929f9a1647a5601e60af18,0.074074074074074%,Bridge User,
0x309a779f6210af662a207e22966533a10f516cc3,0.074074074074074%,Bridge User,
0xc0de62487f78176a74d3c59c470cedaf24fcb543,0.074074074074074%,Bridge User,
0x988cc75ed920c4d90a9c7c44bf50b2c0d8ff37fe,0.074074074074074%,Bridge User,
0x5c558e71384ce9a903c73c09f14cafa807078193,0.074074074074074%,Bridge User,
0xb5caacf3aa59d9ac0f2393f4443ae175a401528e,0.074074074074074%,Bridge User,
0x4b6d0854ee25e7f38b0a1cfcb7a1ded06a30cc69,0.074074074074074%,Bridge User,
0x5898e09a4ac5798a93ee08356318299e00a7a837,0.074074074074074%,Bridge User,
0x286bd52d9c703c924c676bf924c208ddb802d82f,0.074074074074074%,Bridge User,
0xdafba3975d8d55e138763125c0841a494dc9f4c3,0.074074074074074%,Bridge User,
0x395039afb1de8910dd8c25f27631df84de74bff8,0.074074074074074%,Bridge User,
0x66a3b167f4cc8376ddd42109e07649ce7bea172f,0.074074074074074%,Bridge User,
0xd84d7bdc4b79171917c81ddbb22a01139eb4cd84,0.074074074074074%,Bridge User,
0xd3ada71c8c9c21a835f68c8697c99d920cc4a529,0.074074074074074%,Bridge User,
0x14f12e80add26c2824f5c84487886b43e9fd7075,0.074074074074074%,Bridge User,
0x0ed94ddc597721a976d86a5d2be11d0d445dffb9,0.074074074074074%,Bridge User,
0x6ca5584a814471680d823a787eeeb58c1e03e1e0,0.074074074074074%,Bridge User,
0xe69accc2849466bb028d03535cf7698d6cf639eb,0.074074074074074%,Bridge User,
0xd8d27a482aebd26ab8406cffef5e87ee5d3c359a,0.074074074074074%,Bridge User,
0xb55654f8db69db00cda54db7f7b808b25495dcdd,0.074074074074074%,Bridge User,
0x0fd326eb4eabddf648054d59edca789722222162,0.074074074074074%,Bridge User,
0x564af80460f6d4eb1f243e7a4fcf5dfe1ec87faf,0.074074074074074%,Bridge User,
0x8b147c4db4e2616c0bacfb29f5c61589bc0de4dc,0.074074074074074%,Bridge User,
0x5073617d7fad626f14b74bee63f4b3c2afba0d7d,0.074074074074074%,Bridge User,
0x5bc1076b506b6ff9ff170f722618f9fdbf02de67,0.074074074074074%,Bridge User,
0x4198f9a9e6e4341a73917b760d20b753d5b4232b,0.074074074074074%,Bridge User,
0xd8697cd8e7ca234a7791c5499cb3969cf1029e86,0.074074074074074%,Bridge User,
0x9f5d4d3d8c7d327410cc44cb18867bdf7774b67e,0.074074074074074%,Bridge User,
0x0883b2147a8f9a3f144f22cc769d7d73a6a7d7fc,0.074074074074074%,Bridge User,
0xf5c13c0050e88a721b61c4739902dc484bf28ada,0.074074074074074%,Bridge User,
0x71b62f151ab50782a61eccc1afdc2d673d6652ca,0.074074074074074%,Bridge User,
0x327755d47828d0a522a60416db42230cab002797,0.074074074074074%,Bridge User,
0x144c704bf25f1865e4b24fd6596ffed7d92470b0,0.074074074074074%,Bridge User,
0x1a2d4ef247b9ec0dda684e3c8e724e4ae6956357,0.074074074074074%,Bridge User,
0x576d3b3e266744f99bae0fefc4f2780fb57fe2ee,0.074074074074074%,Bridge User,
0xbeb3e4afa46bb1552476995a8f4992a1f79e327e,0.074074074074074%,Bridge User,
0x6555be1002cad14c7a9179fc6c06b1b9759cd3e5,0.074074074074074%,Bridge User,
0x1f99d1bc5dcd5a87c6bcb40655a7438f99b6b601,0.074074074074074%,Bridge User,
0x908fa8a72fb78f0eb9b701bf011e750cf410cebe,0.074074074074074%,Bridge User,
0x505cd670ad6fd15a524f8ba0d1b9be05426979df,0.074074074074074%,Bridge User,
0xafcf77b456e4f3f1ef2762641c0c9c7bbee63138,0.074074074074074%,Bridge User,
0x689f1838377ff51bff0fea6328fe84acc697fc8b,0.074074074074074%,Bridge User,
0xc6641a8b5acba01a80ad1175f41cc10b0a54b471,0.074074074074074%,Bridge User,
0x2f02f8e0ea13f20333a51b19c14ed8d16a20a943,0.074074074074074%,Bridge User,
0x8cbc38ec5a63a63c22dabdc633c8218b55a89e9c,0.074074074074074%,Bridge User,
0x473668e5f99e0e0bfa66c2c979e9cd26761f2f62,0.074074074074074%,Bridge User,
0xd9e1d61d51b4d1ef7da8f09cabddcc59030bf872,0.074074074074074%,Bridge User,
0xb0d2d6f207023e0e307cd197a7a51a33d290eac6,0.074074074074074%,Bridge User,
0x3ad1a126ceaea5c4334b26a16d5d0611e195c1ce,0.074074074074074%,Bridge User,
0x848316d937dfd7c794dbfeaa149eea7da3db4210,0.074074074074074%,Bridge User,
0x532aaa72c31deafb4c4123335c12f55dac210116,0.074074074074074%,Bridge User,
0x2a9f9a0295b89fd83750c2af3c83db65d2ef07a9,0.074074074074074%,Bridge User,
0x37d7f71b05578e7fca90be548d016e0e4d188e97,0.074074074074074%,Bridge User,
0x9809bb41d8ab7bb4bb6bbbc62fd1d15c6ddfe2bd,0.074074074074074%,Bridge User,
0xf43903cf3b33bf6811a67f65c67800d4788eff5a,0.074074074074074%,Bridge User,
0x1a913d340e886c1552cb1d93ae0aa900346f9aeb,0.074074074074074%,Bridge User,
0x12c4a021d747bc6649e25e3be0e41b9eed5299c6,0.074074074074074%,Bridge User,
0x89468c809f87e3748488a241839b4b22bfe94bdd,0.074074074074074%,Bridge User,
0xcde2933c2017944b46b466ab9a0dfdfa36e4c35b,0.074074074074074%,Bridge User,
0x3b4fc73872c74901d148765452994615d80d426c,0.074074074074074%,Bridge User,
0xa333e18249d0e31ae6a57c9be6e4cdf5ce0837ec,0.074074074074074%,Bridge User,
0x31637facefbb72ba93679e282378148d18bd4276,0.074074074074074%,Bridge User,
