Addresses ,Allocation % ,Type,Sum
0x50380aaa867ada71d33d410acd9f1e1f0fce0b2a,0.0046003450258769%,Bridge User,
0xc00aa81fa9ad7903d21cc18ed4dc78dd022d16c8,0.0046003450258769%,Bridge User,
0x3a8320d3d38040ec9e05f23af913313ecf46b28c,0.0046003450258769%,Bridge User,
0x88361b8419347fe92c1e6374b4a34e41e2a2bdbd,0.0046003450258769%,Bridge User,
0x6dc801dba5df686adf759e0796f81f6acdffef1a,0.0046003450258769%,Bridge User,
0x407574fd13372da7153e7596b9af0d8a505b1c2f,0.0046003450258769%,Bridge User,
0x39012727a378afd4db50e5c4eb6856eafcf8dcd2,0.0046003450258769%,Bridge User,
0xf4557fedce81b39ee190e0d32c2dbfc295dd5edc,0.0046003450258769%,Bridge User,
0x030b5c28df8e7cd4bed810d35fe7ada2f8a71f62,0.0046003450258769%,Bridge User,
0xf8cfd72a8d21d1f1b82281a2a44a532d54653930,0.0046003450258769%,Bridge User,
0x91113aebf344b98b2afd605d607669e8c0342c3c,0.0046003450258769%,Bridge User,
0x9a2f29c9722f8464683f88f009bc1e60ef77d37e,0.0046003450258769%,Bridge User,
0xf57a8c1d62de04ffab05657cfd31f149e285026b,0.0046003450258769%,Bridge User,
0x236a8349401a95dd74abbd7e8c4f507c785fc4b9,0.0046003450258769%,Bridge User,
0x09368de1afe649df69081f3e064597ab405443d7,0.0046003450258769%,Bridge User,
0xf9105d9e723f6681910b55775850d96a2b54444e,0.0046003450258769%,Bridge User,
0xf461d012db513138ee42d555392439dbd346eb9d,0.0046003450258769%,Bridge User,
0x8321badcd16fb37120b498646bd856cefe9d499e,0.0046003450258769%,Bridge User,
0x8587f20fe4df258a30e7ad4785a38bc76a3f571d,0.0046003450258769%,Bridge User,
0x2228b7a44cff186947f0581873e9e4b25736dac3,0.0046003450258769%,Bridge User,
0xbf3d1ccfc2ffb8844e2ea769b429d691cf701122,0.0046003450258769%,Bridge User,
0x74e0cd317447c1fe95f69a8f85ac4359c1b0f981,0.0046003450258769%,Bridge User,
0x2676772f31b8f7ab9b6315bab960064a9b23c434,0.0046003450258769%,Bridge User,
0xfe254c106521c96804a7e7cbc3d12bed0095e54c,0.0046003450258769%,Bridge User,
0x42f36d45381e3f5d9443e872b6192aaf0db55b53,0.0046003450258769%,Bridge User,
0x2d1653867c17bbc491d86a0039463e94636e2aa5,0.0046003450258769%,Bridge User,
0x9d28815fd32402cd5f4926c00fee8617d9dbf52a,0.0046003450258769%,Bridge User,
0xde3d47efad0a417473342a49fab24bdfd7139b72,0.0046003450258769%,Bridge User,
0xc8feee4b352c46b15ed12492df669911d8496e51,0.0046003450258769%,Bridge User,
0xd94e1c5376665a9b18ab93542d38005c36d64790,0.0046003450258769%,Bridge User,
0x16a7da59d6328d9e765831cf9d026e0f27de71d3,0.0046003450258769%,Bridge User,
0x14f12e80add26c2824f5c84487886b43e9fd7075,0.0046003450258769%,Bridge User,
0xe09ad735d16a8213dc4877cb9cc1faf8c74357ae,0.0046003450258769%,Bridge User,
0x914249db8f1e1903b432e1af075d35c82560b262,0.0046003450258769%,Bridge User,
0xccfb9010a9d082dda54be56f8f6f4cf4da9ff86f,0.0046003450258769%,Bridge User,
0x19a2fcfa3916a4b77a0c14e3a28a24f43081a341,0.0046003450258769%,Bridge User,
0x206815261f480a98498a7f7554356ff3d7fb303f,0.0046003450258769%,Bridge User,
0x1f99d1bc5dcd5a87c6bcb40655a7438f99b6b601,0.0046003450258769%,Bridge User,
0x98b19463b6b1e02f4efe443d445e434afb1794cb,0.0046003450258769%,Bridge User,
0xe157d1c10368f6f265926a6b5f30f5e54273a8d1,0.0046003450258769%,Bridge User,
0x2b185c762f6fb49a07116ec06b238b58fe2bec53,0.0046003450258769%,Bridge User,
0xbae3bad311a211dbc19c14a5d2995a9a4741abc7,0.0046003450258769%,Bridge User,
0x6746ce6e7d06af03d4a5478deac6480a11db780c,0.0046003450258769%,Bridge User,
0x5005f52e303723c675c7b8240c8af9b41fd1234d,0.0046003450258769%,Bridge User,
0xf6ed81d5e9f61dd1ea21e96ae1d660ecc388ae4f,0.0046003450258769%,Bridge User,
0xbaa9b493bccbe1a900b39870980f41356f85822a,0.0046003450258769%,Bridge User,
0x5ae8cd0026fe4d684e2f5154475908bb263a1957,0.0046003450258769%,Bridge User,
0xa05c5331fd4592f5eda95a520518eced40ad5418,0.0046003450258769%,Bridge User,
0x9fc151d8f2220b467558dd2f149cf6429f3311a1,0.0046003450258769%,Bridge User,
0x16b524dd92404013457ee89ae1f455f4f2d7fcc6,0.0046003450258769%,Bridge User,
0xceef4fd959abede4fff3c9839802a0bfb91738c7,0.0046003450258769%,Bridge User,
0x7354ba6dea1953ca7ddc2b9848a603f1ab7d3e03,0.0046003450258769%,Bridge User,
0x55a6944db96288d4668d5ea2ee83ff30138ac5d2,0.0046003450258769%,Bridge User,
0x6b0125f1356c12fc4cee7e941e03a7bd5b4c8100,0.0046003450258769%,Bridge User,
0xecc23ecc7364c3883f3d3539882031e281226685,0.0046003450258769%,Bridge User,
0x68a5fee58c5efa65e8288f0a7895392eab1b6044,0.0046003450258769%,Bridge User,
