,,,,
,Distribution Plan,,,
,Address,Allocation (%),Address classification,Sum
,0XF930EBBD05EF8B25B1797B9B2109DDC9B0D43063,10%,Developper allocation,100%
,0X2D28748668AA0FA03D6346F5781205B901CDF751,4.4410000%,OFT holder,
,0XFDB1157AC847D334B8912DF1CD24A93EE22FF3D0,3.3393000%,OFT holder,
,0XB0E83C2D71A991017E0116D58C5765ABC57384AF,3.2015000%,OFT holder,
,0X632E1C70DD9F3E83E71AFA081FB8A6E2C709D32A,2.6348000%,OFT holder,
,0X357DFDC34F93388059D2EB09996D80F233037CBA,2.4209000%,OFT holder,
,0X10E3085127C9BD92AB325F8D1F65CDCEC2436149,1.8466000%,OFT holder,
,0XAA8B91BA8D78A0DC9A74FABC54B6C4CC76191B0C,1.1655000%,OFT holder,
,0XC5D3D004A223299C4F95BB702534C14A32E8778C,1.0401000%,OFT holder,
,0X35827CE7BA928D517A9E4025600F60E1238163D7,0.9351000%,OFT holder,
,0X7B41B57B469AAB69746C6466BCEBBED4F8628B97,0.8609000%,OFT holder,
,0X89F9B13119004B52F333F36F104D591103E9AF1A,0.7948000%,OFT holder,
,0X2F707265E61300E8290C18E38EBCBD129FB0B0F5,0.7119000%,OFT holder,
,0X55A183E160F8903766E2DD53F3580C7049B1B2DC,0.6787000%,OFT holder,
,0X989225F2F9BA272ADBCE6D579232C4113EE998D8,0.6679000%,OFT holder,
,0XF4B83CE6F3EE2A04D836289390F7109D933591AC,0.6671000%,OFT holder,
,0X3F47A66ADA01491C3D364599E5BCBF80A1A67092,0.6600000%,OFT holder,
,0XFDBBFB0FE2986672AF97ECA0E797D76A0BBF35C9,0.5756000%,OFT holder,
,0XF23ADCE99089BD884DFC860A4178046E26EFC79F,0.5447000%,OFT holder,
,0X09AFD91A8B1F64B257D82CAA8F34BA93CB14B13A,0.5368000%,OFT holder,
,0X154001A2F9F816389B2F6D9E07563CE0359D813D,0.5298000%,OFT holder,
,0X17AD4E76E67E9937A2B2EF882E4042DD00CC60F7,0.4918000%,OFT holder,
,0X887B353AA1911D0A20960267B45DCD94755F613A,0.4817000%,OFT holder,
