Address,Allocation,Type,Sum
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.003788884%,user,
0x30F89f5f4cF25f457B4D9cBFb64a64A97F00bED0,0.020725523%,user,
0xaDc8dF2B06E897972940CfeB9Daf96A61133a456,0.006918990%,user,
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.000937491%,user,
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.000378889%,user,
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.000151555%,user,
0x4b67945A88B434f22eC1308aD89769FD35127A5F,0.000109875%,user,
0x4b67945A88B434f22eC1308aD89769FD35127A5F,0.005765820%,user,
0x4b67945A88B434f22eC1308aD89769FD35127A5F,0.000447511%,user,
0x329b0F4597B15cd81D6F62DcF2Ad6B3fE1D74d87,0.002878365%,user,
0x329b0F4597B15cd81D6F62DcF2Ad6B3fE1D74d87,0.006247294%,user,
0x389BD7cad27ACc90adEF1D23Ee2E8CC8608DcC18,0.005834448%,user,
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,0.000378888%,user,
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,0.000378888%,user,
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,0.000378888%,user,
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,0.000378888%,user,
0x90F15E09B8Fb5BC080B968170C638920Db3A3446,0.000075800%,user,
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.016147352%,user,
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.001434209%,user,
0x28aa4F9ffe21365473B64C161b566C3CdeAD0108,0.723060776%,user,
0x0441a20748c49d57F472C0D5353907Dd74A39A9F,0.001790042%,user,
0x0441a20748c49d57F472C0D5353907Dd74A39A9F,0.000448811%,user,
0x51DFB88958df54E357fBAcC8516194944E389Ce2,0.000079900%,user,
0x51DFB88958df54E357fBAcC8516194944E389Ce2,0.000467680%,user,
0xA88E8E6212D50b7Fa8EE7051E37e1284261e0b94,0.409480768%,user,
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.016537556%,user,
0x27132F6d5103CAeE85569d2980B628F168B3b229,0.018678654%,user,
0x7AFe134BAd08E70f3143c5212955239Ade95364d,0.000378887%,user,
0x7AFe134BAd08E70f3143c5212955239Ade95364d,0.000075777%,user,
0x64ae4132Bbed92F21978A04cf9818632760A2D4D,0.139524023%,user,
0x4b7292679D439CCd83B972A5fF848b47391AFfCA,0.000030000%,user,
0x4b7292679D439CCd83B972A5fF848b47391AFfCA,0.000512078%,user,
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,1.300936531%,user,
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,1.003299209%,user,
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.793274669%,user,
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.170744095%,user,
0x554EA6fCFd101cB05343cE931A1e45c28254cfA4,0.143213707%,user,
0xA1aEa7f70cEa426440a307deAaEed24A5cFb571c,0.030612269%,user,
0x8DdD3460376bE2b3148431a2c683De2666cb19Fb,0.013539294%,user,
0x8C74aaD7a7daC4feF064145eAe2bcbF97c3547f7,0.037759410%,user,
0x96B9D9a5cFe8c572DeF7588d31f7921138794e24,0.014151186%,user,
0x0d5f75c45086c9e660F89D78bBF1f8Ac4C069666,0.019834717%,user,
0x8C74aaD7a7daC4feF064145eAe2bcbF97c3547f7,0.002319192%,user,
0xac6be2B90c939648B2980D048A0E20b61f3c7771,0.010577323%,user,
0x3255f62BbD1317ed1590228f287be8D602d78443,0.010299690%,user,
0x3927204BE1f649Ab8115e40e92Bd99Cd6703FdE4,0.014030081%,user,
0x5abDC0eC7d0b7d312703ef3b9932C5abA4c9Ac24,0.027442435%,user,
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.053958890%,user,
0xA88E8E6212D50b7Fa8EE7051E37e1284261e0b94,0.344766896%,user,
0xaDc8dF2B06E897972940CfeB9Daf96A61133a456,0.015153289%,user,
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.008756920%,user,
0xDF7fa906DA092cC30F868C5730c944F4D5431e17,0.014200342%,user,
0x487e4f8abE2C1A55982924c16cB7abCA67ce4bE8,0.011992876%,user,
0x75814a71EeaC19A03a6894A46bAf3FB2176e7F5D,0.008242561%,user,
0xf161e787d901E004b714A852B9E5Ad97026E0985,0.008242561%,user,
0xE827f72eaB1186F286f5c64f590Df221490f02AB,0.008242561%,user,
0x8d4744127F48F2dc4FbF78aDB1B71906Ffe9c83f,0.008242561%,user,
0xF15Cc14f16f0456e43fF12B84cE3328466C4C2F7,0.013563488%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.131471534%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.131471534%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.131868170%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.126777084%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.129076563%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.129076563%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.129076556%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.129076556%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.128808958%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.128808956%,user,
0x21caDed0E50b60646af532E37D3124cF2669752B,0.029906927%,user,
0x8fe6627F70f97D4ac19A1fA55133Bb48075e4fE3,0.013601381%,user,
0x47F98FA3a3f8d8A62d99d112cE74e68B8dE79F89,0.013647976%,user,
0xA88E8E6212D50b7Fa8EE7051E37e1284261e0b94,0.156993881%,user,
0xA88E8E6212D50b7Fa8EE7051E37e1284261e0b94,0.236766527%,user,
0x6032F347dAC7eAff74B972e8aCeEBF23145d9C94,0.001996396%,user,
0x8C74aaD7a7daC4feF064145eAe2bcbF97c3547f7,0.008350246%,user,
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.002127992%,user,
0x9B98Ec9aE373E3d75b75B1600242e510a30E1e28,0.004147229%,user,
0x2B185C762F6Fb49a07116EC06B238B58Fe2BeC53,0.005145086%,user,
0xB406F29C62b94A717B2714A4982E307e828FFaFa,0.000775299%,user,
0xc247eDe48635c5762ca6037180F4Bc0A29FE6226,0.000647997%,user,
0x8C74aaD7a7daC4feF064145eAe2bcbF97c3547f7,0.001679041%,user,
0xCE452F6779f6Cb2FC17c059f9F3ecA58B9D64E44,0.027346195%,user,
0xA1aEa7f70cEa426440a307deAaEed24A5cFb571c,0.054569804%,user,
0x9B98Ec9aE373E3d75b75B1600242e510a30E1e28,0.000954040%,user,
0x738dd7b22960dBE359ce10727906CD7AaF71020B,0.396692084%,user,
0x389BD7cad27ACc90adEF1D23Ee2E8CC8608DcC18,0.000945041%,user,
0x47F98FA3a3f8d8A62d99d112cE74e68B8dE79F89,0.026992958%,user,
0x8DdD3460376bE2b3148431a2c683De2666cb19Fb,0.027257334%,user,
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.161183646%,user,
0xC7410f107D4b7172c7D7AC333784bd6F3Daebc78,0.028065126%,user,
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.211446368%,user,
0x2cf16c1aE965d1431E90e6997e9839b379Ae1514,0.026673551%,user,
0x30F89f5f4cF25f457B4D9cBFb64a64A97F00bED0,0.001205744%,user,
0xaDc8dF2B06E897972940CfeB9Daf96A61133a456,0.029962232%,user,
0xDF7fa906DA092cC30F868C5730c944F4D5431e17,0.029490167%,user,
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.028729261%,user,
0x96B9D9a5cFe8c572DeF7588d31f7921138794e24,0.022119629%,user,
0x6C6418d85470512D0B79Ad5b7Fdcc6ddEFFE1835,0.027163136%,user,
0xdBF47B0e9db63702D2e696DE19eF954F411b513C,0.002374128%,user,
0x2B185C762F6Fb49a07116EC06B238B58Fe2BeC53,0.059247271%,user,
0x389BD7cad27ACc90adEF1D23Ee2E8CC8608DcC18,0.000133169%,user,
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.043766753%,user,
0x27132F6d5103CAeE85569d2980B628F168B3b229,0.032773135%,user,
0x7AFe134BAd08E70f3143c5212955239Ade95364d,0.017670845%,user,
0xf7225c5358BcCDdC0542211fa4c9cB2d341D300f,0.013803011%,user,
0xf7225c5358BcCDdC0542211fa4c9cB2d341D300f,0.000706786%,user,
0x4b7292679D439CCd83B972A5fF848b47391AFfCA,0.003812577%,user,
0x2B185C762F6Fb49a07116EC06B238B58Fe2BeC53,0.004559906%,user,
0xf7225c5358BcCDdC0542211fa4c9cB2d341D300f,0.000454149%,user,
0x6e868846b2182235C16FD122FCD44739E55A58e4,0.017278526%,user,
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.596792395%,user,
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.831481058%,user,
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.979221467%,user,
0x60d320a138DEB35Ac3B666BA746399251Ef60D2D,0.532323046%,user,
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.195976751%,user,
0x9B98Ec9aE373E3d75b75B1600242e510a30E1e28,0.000741888%,user,
0xCE452F6779f6Cb2FC17c059f9F3ecA58B9D64E44,0.062014917%,user,
0xA1aEa7f70cEa426440a307deAaEed24A5cFb571c,0.119763161%,user,
0x91d73E9E176c7F8e13CC36ce9532eF4754567157,0.044525436%,user,
0x738dd7b22960dBE359ce10727906CD7AaF71020B,0.402509402%,user,
